genus,root_diameter_mean,SRL_mean,RTD_mean,root_N_mean,root_P_mean,mycorrhizal_colonization_mean,EcoBank_amf_richness_mean,GlobalAMFungi_amf_richness_mean,EcoBank_prop_cult_mean,EcoBank_prop_ancestral_mean,EcoBank_prop_edaphophilic_mean,EcoBank_prop_rhizophilic_mean,n_species,n_fred_records,n_species_in_ecobank,n_species_in_globalamfungi
boltonia,,,,,,,,,,,,,1,2.0,0,0
bombax,,,,,,,,,,,,,3,4.0,0,0
bonellia,,,,,,,,,,,,,1,1.0,0,0
borassus,,,,,,,,,,,,,1,1.0,0,0
boronia,,,,,,,,,,,,,1,1.0,0,0
borreria,,,,,,,21.571428571428573,1.0,18.889327158142855,0.7636149751428573,0.007189589428571429,98.7571532557143,1,0.0,1,1
boscia,,,,,,,,,,,,,1,12.0,0,0
bossiaea,,,,,,,,,,,,,1,2.0,0,0
boswellia,,,,,,,,,,,,,1,1.0,0,0
bothriochloa,0.365,99.25,,,,,,,,,,,3,7.0,0,0
botrychium,,,,,,,,46.91549295774648,,,,,2,2.0,0,1
botrypus,,,,,,,,,,,,,1,1.0,0,0
bougainvillea,,,,,,,,,,,,,1,10.0,0,0
bouteloua,0.21876708325,58.0939501454381,0.40676781904687503,12.015228715974999,0.7,,,,,,,,9,128.0,0,0
bowdichia,,,,,,,,,,,,,1,2.0,0,0
brachanthemum,,,,,,,,,,,,,1,1.0,0,0
brachyclados,,,,,,,,,,,,,1,2.0,0,0
brachyglottis,,51.838856996666664,,6.042280702,,,,,,,,,1,3.0,0,0
brachylaena,,,,,,,,,,,,,1,1.0,0,0
brachypodium,0.2712499928282828,185.0544270611111,0.22113859049999998,10.692642415922222,1.2557635061666668,11.2,52.25,15.75,41.073475425,0.0928542205,0.03573981425,98.55460305,5,49.0,1,1
brachystegia,,,,,,,,,,,,,5,72.0,0,0
brasiliopuntia,,,,,,,,,,,,,1,1.0,0,0
brassica,1.90981021,541.325,0.066778585,14.7,,,,,,,,,3,25.0,0,0
brickellia,,,,,,,,,,,,,1,6.0,0,0
bridelia,,,,,,,,,,,,,1,2.0,0,0
briza,1.55492045,341.7384615,0.117270454,,,,18.46969696969697,3.0,27.794215073772726,0.9352180417575757,0.8966602133484849,97.12445975424242,3,11.0,2,1
bromus,0.48859478015170943,183.21694266985452,0.11784050898958333,9.091660125314815,1.15,50.8,3.0,167.6,1.5151515150000001,0.0,0.0,91.66666666666667,26,246.0,1,1
brosimum,0.6425895835,6.704808296333333,0.4042040925,12.57220984,,52.222569757,,,,,,,5,35.0,0,0
bruguiera,,,,,,,,,,,,,1,41.0,0,0
buchloe,,110.5,,15.933333333333332,1.1,,,,,,,,1,4.0,0,0
buchozia,0.33,507.2,,,,,,,,,,,1,5.0,0,0
buddleja,,6.753,,20.6,3.99,,,,,,,,1,1.0,0,0
buglossoides,,,,,,,,,,,,,1,1.0,0,0
bukiniczia,,,,,,,,,,,,,1,0.0,1,0
bulbostylis,,,,,,40.515,,,,,,,2,3.0,0,0
bulnesia,,,,,,,,,,,,,1,1.0,0,0
bunchosia,0.53085,12.45969379,0.261240981,21.77949985,,,,,,,,,1,2.0,0,0
bunias,,,,,,,,,,,,,1,1.0,0,0
buphthalmum,,,,,,,,,,,,,1,1.0,0,0
bupleurum,,,,,,,7.0,,9.803921569,0.0,0.0,100.0,5,18.0,1,0
burkea,,,,,,,,,,,,,1,12.0,0,0
bursera,0.448666667,6.006312035,0.291414141,8.26218724,,,,,,,,,2,32.0,0,0
butea,,,,,,,,,,,,,1,4.0,0,0
butomus,,,,,,,,,,,,,1,1.0,0,0
buxus,,,,,,,,,,,,,1,1.0,0,0
byrsonima,,,,,,,,,,,,,2,4.0,0,0
cacalia,,,,,,,9.5,15.833333333333334,62.600043281,1.79163224775,0.0,97.56977778375,1,0.0,1,1
cadaba,,,,,,25.96,,,,,,,1,1.0,0,0
cajanus,,,,,,86.15,,,,,,,1,1.0,0,0
calamagrostis,0.7529170033333333,264.20502775666665,0.10205363477777778,12.469654254,1.3022675515,,7.908823529411765,25.40625,48.52814279029117,0.9670026695529413,0.0010903341882352942,98.02102157294118,19,105.0,6,2
calamus,0.2187,103.2453571,0.254545455,13.1505045,,,,,,,,,1,1.0,0,0
calceolaria,,,,,,,,,,,,,1,1.0,0,0
calendula,,,,,,,,,,,,,1,1.0,0,0
calla,,,,,,,,,,,,,1,2.0,0,0
calliandra,0.472,23.57,0.329,10.100000000000001,0.71,,,,,,,,1,3.0,0,0
callicarpa,0.429633333,22.98446002,0.168178206,20.59871435,,,,,,,,,2,4.0,0,0
calligonum,0.64,2.99,,12.673333333333332,,,,,,,,,12,46.0,0,0
callisia,,,,,,,,,,,,,1,1.0,0,0
callistephus,,,,,,,,,,,,,1,3.0,0,0
callitriche,,,,,,,,,,,,,1,3.0,0,0
callitropsis,0.393711111,38.04857021666667,0.2642286756666667,,,,,,,,,,1,4.0,0,0
calluna,0.3166,13.62532988,1.194550386,3.3333333333333335,0.25,,,,,,,,1,27.0,0,0
calocedrus,0.6540166666666667,11.950022669333334,0.26978484333333336,10.0,,,,,,,,,1,10.0,0,0
calophyllum,,,,,,,,,,,,,1,4.0,0,0
calotropis,,,,,,18.32,,,,,,,2,3.0,0,0
calpurnia,0.53,16.95,0.32,,,,,,,,,,1,1.0,0,0
caltha,0.2098,346.6829091,0.083333333,16.730248578,1.267887726,,,,,,,,1,18.0,0,0
calycolpus,0.43,20.14,0.383,,,,,,,,,,1,1.0,0,0
calyptrogyne,,,,,,,,,,,,,1,1.0,0,0
calystegia,,14.935,,,,,,,,,,,2,5.0,0,0
calytrix,,,,,,,,,,,,,4,6.0,0,0
camelina,,,,,,,,,,,,,2,4.0,0,0
camellia,,,,,,,,1.0,,,,,1,0.0,0,1
cameraria,0.541133333,5.824038361,0.356856449,17.37854362,,,,,,,,,1,2.0,0,0
camissonia,,,,,,,,,,,,,1,1.0,0,0
campanula,1.5993795557000001,515.30055699,0.1330859207,,,,18.557692307692307,98.79166666666667,23.131202742187497,2.214320594706731,4.690204911394231,91.53982579732693,20,93.0,2,2
camphorosma,,,,,,,,,,,,,2,3.0,0,0
canarium,0.6847637056969696,25.182818570979798,0.2755738422878788,11.438055555555556,0.5362626262626262,22.0,,,,,,,2,27.0,0,0
cannabis,,,,,,,,,,,,,1,7.0,0,0
capparidastrum,,,,,,,,,,,,,1,24.0,0,0
capparis,,,,,,,,2.0,,,,,2,1.0,0,1
capsella,1.54168842,479.81,0.070883842,,,,,,,,,,1,3.0,0,0
capsicum,,,,,,,,2429.8333333333335,,,,,1,0.0,0,1
caragana,1.1489583333333333,10.462,,20.551880912222224,,35.01,3.0,,20.0,0.0,0.0,100.0,12,68.0,1,0
carallia,0.21426,109.24,0.21,16.92,,44.0,,,,,,,1,1.0,0,0
carapa,,,,,,,,,,,,,1,1.0,0,0
carapichea,0.459,26.0,0.233,,,,,,,,,,1,1.0,0,0
cardamine,1.03860191,685.425,0.02995635,4.0,,,6.75,1.0,42.0253889085,2.456467662125,0.657894736875,96.22774286375,8,24.0,1,1
cardiospermum,,,,,,50.275000000000006,,,,,,,1,2.0,0,0
carduus,2.41055723,374.3,0.02609772,5.6,,,,,,,,,4,7.0,0,0
carex,0.34269001134605914,125.79677333871774,0.21702854169209473,7.499204861166018,1.3350111234916666,5.471666666666667,5.666666666666667,,4.527648041666667,0.8412197686666666,0.038138825333333334,99.120641405,143,1024.0,3,0
carica,1.4,3.8,,,,,,,,,,,1,1.0,0,0
cariniana,,,,,,,,,,,,,3,55.0,0,0
carlina,2.80427872,277.36593404999996,0.1380839975,,,,,,,,,,3,19.0,0,0
carnegiea,,,,,,,,,,,,,1,3.0,0,0
carpinus,0.5718514652208334,25.118749249586113,0.57966747765,10.182489445800002,1.1,92.78333333333335,,,,,,,4,78.0,0,0
carpodetus,0.516975,31.33961094875,0.1539496095,16.305,1.44,,,,,,,,1,8.0,0,0
carthamus,,,,,,,,,,,,,1,1.0,0,0
carum,2.15148034,574.3222222,0.036328444,,,,,,,,,,2,25.0,0,0
carya,0.46388048601961646,35.94116787097781,0.39533008589913626,6.546867441925926,0.9069521995000001,23.25,,,,,,,5,175.0,0,0
caryocar,,,,,,,,,,,,,1,2.0,0,0
caryota,0.29225,57.57059687,0.263346829,11.32574433,,,,,,,,,1,1.0,0,0
casearia,,,,,,,,,,,,,2,60.0,0,0
cassia,,,,,,57.81,,,,,,,1,1.0,0,0
cassiope,0.23371,132.20853860444444,,10.423066243555557,1.1974359474444445,,,,,,,,1,32.0,0,0
castanea,0.16803,40.96,0.49,15.813333333333333,0.323,26.0,,,,,,,2,25.0,0,0
castanopsis,0.49054985694457875,42.25666963560597,0.48675545240245416,12.727714519087884,0.4237,69.5,,,,,,,16,122.0,0,0
castilleja,,18.3423851449,,10.266482830000001,,,,,,,,,2,10.0,0,0
casuarina,,,,8.65,,,,,,,,,1,8.0,0,0
catabrosa,,,,,,,,,,,,,1,1.0,0,0
catabrosella,,,,,,,,,,,,,2,7.0,0,0
catalpa,0.6173399725,24.20305853,0.14024999999999999,22.95728125,,,,,,,,,3,7.0,0,0
catolobus,,,,,,,,,,,,,1,1.0,0,0
catostemma,0.792,6.38,0.333,,,,,,,,,,1,1.0,0,0
catunaregam,0.25699,80.24,0.38,29.15,,28.0,,,,,,,1,1.0,0,0
caulophyllum,0.3578,91.70646617,0.108130081,21.74845767,,,,,,,,,1,1.0,0,0
cavanillesia,,,,,,,,,,,,,2,58.0,0,0
ceanothus,,36.892099125,,11.27897233,,,,,,,,,8,70.0,0,0
cecropia,0.53606514325,23.5058221975,0.2448072935,19.6296025,1.3160755093333334,,8.0,1.0,8.023099286833332,6.765084621166667,0.0,88.53783419166666,7,40.0,1,1
cedrela,0.5905333333333334,18.455068100000002,0.20024080533333333,23.401406666666663,1.919828224,,,,,,,,3,49.0,0,0
cedrus,0.5037666666666666,13.011545322000002,0.4163994713333334,,,,,,,,,,3,10.0,0,0
ceiba,1.0685125,0.926157305590909,0.247122123,11.79661512,,,,,,,,,3,108.0,0,0
celastrus,,53.55,0.235,14.0,,,,,,,,,2,2.0,0,0
celmisia,,21.54655347411111,0.290151515,7.189813191000001,,,,,,,,,3,24.0,0,0
celtis,0.3495304166041666,43.4295210899375,0.5416384747708334,14.327777777777778,0.7033333333333334,11.7541666665,,,,,,,8,20.0,0,0
cenchrus,0.22,148.0,0.18,6.5,,55.5,15.375,681.5611111111111,35.519436608125,0.28848975649999997,0.0,98.99405394,10,22.0,1,3
cenostigma,,,,,,,,,,,,,2,51.0,0,0
centaurea,1.6274723309,118.14582922288888,0.10228997100000001,9.534290752499999,,,9.928571428571429,42.583333333333336,12.341514315357143,0.10281662207142858,0.0,81.02889624214286,13,84.0,1,1
centaurium,1.70448969,271.9142857,0.146400989,,,,8.0,,44.44444444,0.0,0.0,88.88888889,2,3.0,1,0
centrolobium,,,,,,,,,,,,,1,42.0,0,0
centronia,0.30691666666666667,55.36910361,0.24545336733333334,16.821823333333334,0.8921243273333334,,,,,,,,1,3.0,0,0
centrosema,,,,15.100000000000001,0.445,,,,,,,,1,2.0,0,0
cephalanthera,,,,,,,,,,,,,1,1.0,0,0
cephalanthus,,48.9,0.53,12.0,,,,,,,,,1,1.0,0,0
cephalaria,,,,,,,,,,,,,1,2.0,0,0
cephalotaxus,0.7886123731666667,12.916437978333335,0.18661259966666668,2.5750122203333334,,82.94611111,,,,,,,1,9.0,0,0
cerastium,1.5721008730833335,286.26232418166666,0.130901442,10.175,0.78,0.0,,,,,,,19,46.0,1,0
ceratocarpus,,27.59,,16.04,,,,,,,,,1,16.0,0,0
ceratostigma,,3.0162023799999997,,7.4,1.81,,,,,,,,2,2.0,0,0
cercidiphyllum,0.5134675975,17.9328662025,0.2225,10.3163125,,,,,,,,,1,4.0,0,0
cercis,0.366,27.1,0.159,1.71,,,,,,,,,1,4.0,0,0
cercocarpus,,,,,,,,,,,,,2,10.0,0,0
cereus,,,,,,,,,,,,,1,1.0,0,0
cerinthe,,,,,,,,,,,,,2,2.0,0,0
ceriops,,,,,,,,,,,,,1,82.0,0,0
cestrum,0.5813,11.09478155,0.339693757,24.83008,,,8.055555555555555,,12.480695820833333,0.24691358022222223,0.8897243109444444,73.69854429944445,2,1.0,1,0
chaenomeles,,,,,,,,,,,,,1,1.0,0,0
chaenorhinum,,,,,,,,,,,,,1,1.0,0,0
chaerophyllum,2.01527972,494.9089998,0.055709754,,,,6.0,9.0,69.23076923,0.0,0.0,100.0,6,9.0,1,1
chaetopappa,,43.25886724,,13.30856323,,,,,,,,,1,5.0,0,0
chamaecostus,,,,,,,8.0,,3.846153846,0.0,0.0,96.153846155,1,0.0,1,0
chamaecrista,0.29801500000000003,70.0,0.16259099999999999,,,66.71,,,,,,,5,8.0,0,0
chamaecyparis,0.6487929941458334,18.142976729138297,0.4175588001666667,6.750780933333333,,50.222578585,,5.4,,,,,5,352.0,0,1
chamaecytisus,,,,,,,,,,,,,1,8.0,0,0
chamaedaphne,0.29,,,2.6600000000000006,,,,,,,,,1,21.0,0,0
chamaedorea,,,,,,,,,,,,,4,5.0,0,0
chamaemespilus,,,,,,,,,,,,,1,1.0,0,0
chamaerhodos,0.18180800000000003,105.5,0.22,11.45,,0.0,,,,,,,1,5.0,0,0
chamaesciadium,,,,,,,,,,,,,1,5.0,0,0
chamaesphacos,,,,,,,,,,,,,1,1.0,0,0
chassalia,0.328,29.52,0.367,,,,,,,,,,1,1.0,0,0
chenopodium,0.3087013716875,92.82179067056924,0.42069956175,12.388733049999999,0.32,0.0,,,,,,,9,52.0,1,0
chiastophyllum,,,,,,,,,,,,,1,1.0,0,0
chimaphila,,,,,,,,,,,,,1,4.0,0,0
chimonanthus,,,,,,,,2.5,,,,,1,0.0,0,1
chionanthus,0.7615953775000001,9.7070363975,0.196625,15.513031250000001,,,,,,,,,1,4.0,0,0
chloranthus,0.462,37.27738562,0.161052632,26.45842833,,,,,,,,,1,1.0,0,0
chloris,0.3867,19.98,0.405159,5.35,,,14.125,2.6666666666666665,21.37638058525,1.915947599625,0.07788162,97.37238653375,3,3.0,1,1
choerospondias,0.3725071428571428,57.014029685714284,0.30020652833333333,13.7773185825,0.8999999999999999,33.376182662000005,,,,,,,1,14.0,0,0
chomelia,0.78392878265,10.49266558915,0.40894160447500005,14.3686442043,0.50889712915,74.0,,,,,,,2,21.0,0,0
chondrilla,,,,,,,,,,,,,3,7.0,0,0
chondrosum,,,,,,,25.166666666666668,11.6,37.235857458333335,0.16033536366666667,0.017749378833333333,99.51655480833334,1,0.0,1,1
chorispora,,,,,,,,,,,,,2,3.0,0,0
christolea,,,,,,,,,,,,,1,1.0,0,0
chromolucuma,0.467,23.47,0.181,,,,,,,,,,1,1.0,0,0
chrozophora,,,,,,,,,,,,,1,1.0,0,0
chrysanthemum,,,,,,,,,,,,,2,4.0,0,0
chrysocoma,,,,,,,,,,,,,1,1.0,0,0
chrysojasminum,0.44935,8.54883944425,0.44130439,13.9,1.59,19.96666667,,,,,,,2,3.0,0,0
chrysophyllum,0.568,4.882099999999999,0.396,,,,,,,,,,2,3.0,0,0
chrysopogon,,,,,,49.74,,,,,,,3,6.0,0,0
chrysopsis,0.2195,63.07496467,0.252040816,12.64685988,,,,,,,,,1,11.0,0,0
chrysosplenium,,,,,,,,,,,,,1,6.0,0,0
chrysothamnus,,,,,,,,,,,,,1,9.0,0,0
chuquiraga,,,,,,,,,,,,,1,1.0,0,0
chylismia,,,,,,,,,,,,,1,1.0,0,0
cibotium,0.24825,83.95513514,0.246666667,15.741024,,,,,,,,,1,1.0,0,0
cicer,,,,,,,7.0,47.75,72.0,0.0,0.0,100.0,2,2.0,1,1
cicerbita,,,,,,,,,,,,,1,1.0,0,0
cichorium,1.2766118885,407.10280315,0.019869653,,,,,,,,,,1,10.0,0,0
cinnamomum,0.7308312365255952,18.46005777850893,0.40293482045625,16.296150886957673,0.4962920634920635,60.009543255416666,,1.0,,,,,11,155.0,0,1
circaea,,,,,,,,,,,,,2,13.0,0,0
cirsim,0.25244,,0.2055,,,,,,,,,,1,1.0,0,0
cirsium,2.5027835549999997,181.33502603833333,0.0794348565,11.49575392,,,9.0,,96.47302905,0.0,0.0,100.0,19,46.0,1,0
cistus,0.452391927125,9.31921063025,0.774190132125,,,10.89583333425,11.5,,48.2218711075,4.353846155,0.0,95.616447205,9,16.0,1,0
citrullus,,,,,,,11.25,20.666666666666668,27.10675312,5.526806783375,0.578256471,91.5240534125,2,2.0,1,1
citrus,0.8160262745455711,19.071428571428573,0.3508835718,,6.170288449,56.75370718333333,,1005.2222222222222,,,,,7,272.0,0,2
cladium,,,,,,,,,,,,,2,3.0,0,0
clarisia,0.38675,26.370272415,0.47749192349999997,16.7258125,0.842913933,,,,,,,,2,8.0,0,0
clarkia,,,,,,,,,,,,,2,2.0,0,0
clathrotropis,,,,,,,,,,,,,1,2.0,0,0
clausena,0.374333333,11.38236549,0.437041456,22.67113209,,,,,,,,,1,2.0,0,0
cleidion,0.8166666666666668,7.931259647333333,0.24992353433333334,15.196666666666667,1.11,,,,,,,,1,3.0,0,0
cleistogenes,0.1738185518888889,75.8475,0.11499999999999999,5.657857142857143,1.03,13.38,,,,,,,2,25.0,0,0
clematis,,18.855416201666667,,,,,,,,,,,9,20.0,0,0
cleome,,,,,,,,,,,,,1,1.0,0,0
clethra,0.4135942212857143,29.540982494285714,0.26150549557142855,10.944522857142857,0.6720390134285713,,,,,,,,1,9.0,0,0
cleyera,,,,8.466666666666667,0.2816666666666667,,,,,,,,1,6.0,0,0
cliffortia,,,,,,,5.0,,34.797834429999995,9.5463267525,0.0,86.1567982475,2,3.0,1,0
climacoptera,,,,,,,,,,,,,3,6.0,0,0
clinopodium,1.04296686,299.92142855,0.1115545395,9.58,1.6,,,,,,,,7,18.0,0,0
clintonia,,,,,,,,,,,,,1,2.0,0,0
clitoria,1.2449260949999998,7.014099169850001,0.25321592055000003,19.388258814,0.7953708126500001,83.97214285714286,,,,,,,2,22.0,0,0
clusia,0.9705396889955358,6.042225182111607,0.33031755585094247,9.10242343501984,0.636917313309375,,,,,,,,5,34.0,0,0
cnestidium,,0.348,,,,,,,,,,,1,2.0,0,0
cnidoscolus,0.5349,16.9650412,0.202657215,,,,,,,,,,1,2.0,0,0
coccoloba,0.8072419795666667,9.6250737136,0.49739447896666666,11.670936007966667,0.49771604365,94.5,,,,,,,3,42.0,0,0
cochlearia,,,,,,,,,,,,,2,2.0,0,0
cochlospermum,,,,,,,,,,,,,1,3.0,0,0
cocos,0.5980952380952381,15.100000000000001,,,,,20.08108108108108,10.875,16.500706751135134,0.2790330021351351,0.4036875435675676,89.62561926651351,1,63.0,1,1
coffea,0.5573239436619718,4.433636363636364,,15.180833333333334,,,,,,,,,1,72.0,0,0
cojoba,,0.4002,,,,,,,,,,,1,30.0,0,0
colchicum,,,,,,,,,,,,,2,9.0,0,0
coleataenia,,,,,,,,,,,,,1,1.0,0,0
coleogyne,,,,,,,,,,,,,1,1.0,0,0
coleus,,,,,,,,,,,,,1,1.0,0,0
colicodendron,,,,,,,,,,,,,1,1.0,0,0
colliguaja,,,,,,,,,,,,,2,6.0,0,0
collomia,,,,,,,,,,,,,1,1.0,0,0
colobanthus,,96.880424016,,7.819877451,,,,,,,,,1,3.0,0,0
cologania,,52.002164504999996,,,,,,,,,,,1,2.0,0,0
colophospermum,,,,,,,,4.0,,,,,1,12.0,0,1
colpodium,,,,,,,,,,,,,1,4.0,0,0
comandra,0.321385714,31.36179282,0.334821433,,,,,,,,,,1,1.0,0,0
comarum,,,,7.987218045,0.945081456,,12.666666666666666,,7.539830088333333,0.0,0.0,99.88962472333333,2,12.0,1,0
combretum,0.868170355675,9.21201161025,0.357137789625,8.6308039961,0.5130339354,92.14285714285714,14.875,8.5,16.044601351125003,3.5163884248749997,0.38760638449999996,94.00973749125001,13,87.0,1,1
commelina,,,,,,30.85,15.571428571428571,9.0,28.740686159000003,1.2482203792142859,0.1486224372142857,86.89045665857142,6,4.0,2,1
commiphora,,,,,,,,,,,,,9,22.0,0,0
comptonia,,,,,,,,,,,,,1,2.0,0,0
condalia,,,,,,,,,,,,,2,4.0,0,0
conioselinum,,,,,,,6.0,,5.714285714,0.0,0.0,100.0,1,0.0,1,0
conium,,,,,,,,,,,,,1,2.0,0,0
connarus,,0.18205,,,,,,,,,,,1,2.0,0,0
conospermum,,,,,,,,,,,,,1,1.0,0,0
conostephium,,,,,,,,,,,,,2,3.0,0,0
convallaria,0.42005000000000003,69.09311917,0.11585876049999999,15.368292665,,,22.785714285714285,67.66666666666667,28.537361507285713,0.6701360478571429,0.005131362857142857,99.27036421857143,1,4.0,1,1
convolvulus,2.75991392,156.01025353,0.0574,12.29355574,,,,,,,,,11,25.0,0,0
conyza,,,,,,,15.25,189.4318181818182,47.03225714138333,14.20839539765,2.294649474016667,81.5744975635,3,0.0,3,2
copiapoa,,,,,,,,,,,,,1,1.0,0,0
coprosma,0.3556685714285714,57.904601209398805,0.23766361640476194,10.620595896666666,0.9680633992000001,,,,,,,,8,20.0,0,0
corchorus,,,,,,39.485,,,,,,,2,3.0,0,0
cordia,0.456433333,3.702461367,0.467430763,22.2227478,,,,,,,,,2,6.0,0,0
cordiera,0.544,13.51,0.465,,,,,,,,,,2,31.0,0,0
cordylanthus,,,,,,,,,,,,,1,2.0,0,0
coreopsis,0.33,56.92170997,0.1,17.081397861666666,,,,,,,,,2,8.0,0,0
corethrodendron,,5.99,,18.84,,,,,,,,,1,1.0,0,0
coriandrum,,,,,,,,,,,,,1,1.0,0,0
coriaria,0.375,29.352881845,0.3345180725,21.410911335,0.99,,,,,,,,2,2.0,0,0
corispermum,,31.72,,6.06625,,,,,,,,,5,13.0,0,0
cormus,,,,,,,,,,,,,1,1.0,0,0
cornulaca,,,,,,,,,,,,,1,2.0,0,0
cornus,0.5791693076444444,24.012343141838095,0.2992238008428571,12.9455468995,1.481156325,,5.0,24.0,0.0,0.0,0.0,100.0,13,38.0,1,1
coronilla,0.4186568303,86.45273262966667,0.28860397666666665,17.375,,23.4,,,,,,,5,25.0,0,0
correa,,,,,,,,,,,,,1,1.0,0,0
corydalis,,,,,,,9.0,,6.859205776,3.249097473,0.0,96.75090253,6,10.0,1,0
corylus,0.22991666675,84.37971399,0.26269759475,16.514430989999997,,,,,,,,,5,14.0,0,0
corymbia,,,,12.5,,,,,,,,,4,17.0,0,0
corynephorus,,,,,,,,,,,,,1,1.0,0,0
corynocarpus,0.588,23.799507734,0.1627042304,34.2,,,,,,,,,1,10.0,0,0
corythophora,0.45,12.08,0.592,,,,,,,,,,1,1.0,0,0
cosmos,,109.20557185,,13.09175253,,,,,,,,,2,5.0,0,0
cota,2.13288102,294.5666667,0.058370969,,,,,,,,,,4,6.0,0,0
cotinus,,6.31,,12.3,3.23,,,,,,,,2,2.0,0,0
cotoneaster,0.22556666666666667,112.48137779333332,0.2363901273333333,16.555378003333335,,,,,,,,,10,16.0,0,0
couepia,0.265,23.26,0.675,,,,,,,,,,1,1.0,0,0
couroupita,0.5581,6.600357267,0.33419108350000004,11.091848315,,,,,,,,,1,4.0,0,0
cousinia,,,,,,,,,,,,,7,9.0,0,0
coussarea,,,,,,,,,,,,,1,2.0,0,0
crambe,,,,,,,,,,,,,1,1.0,0,0
cranfillia,0.31,42.9,0.29,12.76,0.54,,,,,,,,1,1.0,0,0
craniolaria,,,,,,,,,,,,,1,2.0,0,0
crassula,,,,,,,,,,,,,3,3.0,0,0
crataegus,0.3227625,57.684649315,0.485934656,14.80399667,,9.376041667,,,,,,,10,21.0,0,0
cratoxylum,0.12092,32.53,0.41,8.98,,55.0,,,,,,,1,1.0,0,0
cremanthodium,,,,,,,1.0,,0.0,0.0,0.0,100.0,2,0.0,2,0
crepis,0.8690947824999999,233.586,0.0745542,18.758333333333333,2.5,35.6,,,,,,,11,27.0,0,0
crescentia,,,,,,55.17,,,,,,,1,1.0,0,0
crithmum,,,,,,,,,,,,,1,1.0,0,0
critoniopsis,0.5150456960357143,20.463312945035717,0.28163873403571427,24.170690714285715,0.97236129725,,,,,,,,2,16.0,0,0
crocus,,,,,,,,,,,,,3,6.0,0,0
crossandra,,,,,,48.7,,,,,,,1,1.0,0,0
crossopterix,,,,,,,,11.0,,,,,1,0.0,0,1
crossopteryx,,,,,,,,,,,,,1,1.0,0,0
crotalaria,,,,,,74.2,16.666666666666668,10.666666666666666,19.961151107916667,0.11394621816666667,3.3451645840000004,94.39944113666667,11,11.0,3,3
croton,0.8210561902857142,7.567181018,0.38789118714285714,12.688571428571427,0.7999999999999999,,,,,,,,3,18.0,0,0
cruciata,1.66074309,490.9400978,0.089116197,,,,,,,,,,3,12.0,0,0
cryptandra,,,,,,,,,,,,,1,1.0,0,0
cryptantha,,,,,,,,,,,,,2,2.0,0,0
cryptocarya,1.0500991308,6.2570196047666675,0.3241645096333334,14.498179794013607,0.6972962962962962,90.5,,,,,,,8,66.0,0,0
cryptogramma,,,,,,,,,,,,,1,1.0,0,0
cryptomeria,0.6015250000000001,26.0726351525,0.16682634925,14.272861,,,,,,,,,1,12.0,0,0
cryptostegia,,,,,,48.6,,,,,,,1,1.0,0,0
cryptotaenia,,4.466158582,,,,,,,,,,,1,1.0,0,0
cucumis,,,,,,,,,,,,,2,2.0,0,0
cucurbita,0.29163,,0.399121,,,,,,,,,,3,7.0,0,0
cullen,,,,,,,10.791666666666668,,37.04675807454167,1.3157894736666667,2.302631579416667,91.05929997749999,2,0.0,2,0
cunninghamia,0.6762398697954546,11.66762147697561,0.14502169783783783,11.437402582095238,1.2290033333333332,52.83611068625,,,,,,,1,133.0,0,0
cupressus,0.7192955545238094,11.28618609195,,,,,,,,,,,1,26.0,0,0
curatella,,,,,,,,,,,,,1,6.0,0,0
curculigo,,,,,,59.48,,,,,,,1,1.0,0,0
cyanthillium,,,,,,59.21,,,,,,,1,1.0,0,0
cyathea,0.31,30.1,0.4,5.29,0.39,,,,,,,,1,1.0,0,0
cybianthus,,,,,,,,,,,,,1,1.0,0,0
cycas,1.136287037166667,8.154844758833335,0.213594371,3.567544357833333,,,,,,,,,3,10.0,0,0
cydonia,0.3992,9.416966696,0.933558265,,,26.06666667,,,,,,,1,1.0,0,0
cylindropuntia,,,,,,,,,,,,,7,15.0,0,0
cymbaria,0.25392333333333333,,,,,20.66,,,,,,,1,3.0,0,0
cymbopogon,,,,,,26.58,6.375,19.333333333333332,8.270216435,0.0,0.0,99.95,3,2.0,1,1
cymopterus,,18.498290930000003,,6.412793994,,,,,,,,,4,10.0,0,0
cynanchica,1.72907595,390.8625,0.166393875,,,,,,,,,,2,4.0,0,0
cynanchum,,20.3,,8.3375,,,,,,,,,2,6.0,0,0
cynara,,,,,,,,,,,,,2,2.0,0,0
cynodon,,,,,,22.77,42.0,,13.76912378,0.111265647,0.0,97.27399166,2,16.0,1,0
cynoglossum,,,,,,,,,,,,,1,1.0,0,0
cynosurus,0.896242985,331.2666667,0.1497502115,,,,,,,,,,2,5.0,0,0
cyperus,0.513,66.37,,5.4,,21.676666666666666,,,,,,,11,13.0,0,0
cypripedium,,,,,,,,,,,,,1,4.0,0,0
cyrtococcum,,,,,,56.67,,,,,,,1,1.0,0,0
cystopteris,0.49102581100000003,181.52872013333334,0.071831414,12.962976937666667,,,,,,,,,2,6.0,0,0
cytisus,0.742,3.251413722,0.792650672,13.72,0.71,,,,,,,,4,14.0,0,0
dacrycarpus,0.5776121726433566,21.288671055632868,0.261620806,12.07,,,,,,,,,2,28.0,0,0
dacrydium,0.5274041725,18.4860186535,0.30916469708333333,5.897735572499999,0.34,,,,,,,,4,33.0,0,0
dacryodes,0.97955,11.655192959499999,0.48137007099999995,17.238493333333334,0.845540395,,,,,,,,3,21.0,0,0
