analysis_level,dataset,response,predictor,coef,se,p_value,r2,n
genus,EcoBank,EcoBank_amf_richness_mean,const,20.513155586521357,4.402032779831674,9.874137160989784e-06,0.025466996913925843,104
genus,EcoBank,EcoBank_amf_richness_mean,root_diameter_mean,-1.575559809595017,1.6978740060414104,0.35568503988964634,0.025466996913925843,104
genus,EcoBank,EcoBank_amf_richness_mean,SRL_mean,-0.01074749338786432,0.009885478448812171,0.27958827674718867,0.025466996913925843,104
genus,EcoBank,EcoBank_amf_richness_mean,RTD_mean,-6.002110281612385,10.037416720858822,0.5512230438157115,0.025466996913925843,104
genus,EcoBank,EcoBank_amf_richness_mean,root_N_mean,-0.10052320710654752,0.15864319020387466,0.5277748129969517,0.025466996913925843,104
genus,GlobalAMFungi,GlobalAMFungi_amf_richness_mean,const,141.7866316826491,58.543235023080975,0.017644279405475825,0.04179265840427793,87
genus,GlobalAMFungi,GlobalAMFungi_amf_richness_mean,root_diameter_mean,-41.80992177135055,28.60212799480195,0.14762427073933884,0.04179265840427793,87
genus,GlobalAMFungi,GlobalAMFungi_amf_richness_mean,SRL_mean,-0.0022711771769911362,0.1235552768086275,0.9853788683393839,0.04179265840427793,87
genus,GlobalAMFungi,GlobalAMFungi_amf_richness_mean,RTD_mean,-105.07229810981411,123.22528244779022,0.3963179723879241,0.04179265840427793,87
genus,GlobalAMFungi,GlobalAMFungi_amf_richness_mean,root_N_mean,-2.423594475708199,2.0268627020456096,0.23524566417437456,0.04179265840427793,87
genus,EcoBank,EcoBank_prop_cult_mean_logit,const,13.408811435239574,1.8309067501783078,6.540099014042982e-11,0.015847809207803043,104
genus,EcoBank,EcoBank_prop_cult_mean_logit,root_diameter_mean,0.09798132568100237,0.706184877326691,0.889931592599585,0.015847809207803043,104
genus,EcoBank,EcoBank_prop_cult_mean_logit,SRL_mean,0.002201023538170716,0.004111598010718239,0.5936285979809396,0.015847809207803043,104
genus,EcoBank,EcoBank_prop_cult_mean_logit,RTD_mean,-2.2010659094311884,4.174792635068873,0.5992150516654197,0.015847809207803043,104
genus,EcoBank,EcoBank_prop_cult_mean_logit,root_N_mean,-0.03033908041448999,0.06598335413240654,0.6466686751206634,0.015847809207803043,104
genus,EcoBank,EcoBank_prop_ancestral_mean_logit,const,4.668736444276016,4.160195234274504,0.26447495318617503,0.028920156453376755,104
genus,EcoBank,EcoBank_prop_ancestral_mean_logit,root_diameter_mean,-2.35839211652676,1.6045967173834017,0.14479426087759242,0.028920156453376755,104
genus,EcoBank,EcoBank_prop_ancestral_mean_logit,SRL_mean,0.0036317271579233076,0.009342393023444107,0.6983060291589013,0.028920156453376755,104
genus,EcoBank,EcoBank_prop_ancestral_mean_logit,RTD_mean,2.0428513606268357,9.48598415665156,0.8299338180621703,0.028920156453376755,104
genus,EcoBank,EcoBank_prop_ancestral_mean_logit,root_N_mean,-0.06947648286693495,0.1499276985987141,0.6440949021280469,0.028920156453376755,104
genus,EcoBank,EcoBank_prop_edaphophilic_mean_logit,const,-3.653346289689918,2.89527234269557,0.20997419100296028,0.022139930979041322,104
genus,EcoBank,EcoBank_prop_edaphophilic_mean_logit,root_diameter_mean,-0.8136257757294967,1.1167130952762687,0.4679726053781339,0.022139930979041322,104
genus,EcoBank,EcoBank_prop_edaphophilic_mean_logit,SRL_mean,0.008161799962476016,0.006501803548190163,0.2123200429194088,0.022139930979041322,104
genus,EcoBank,EcoBank_prop_edaphophilic_mean_logit,RTD_mean,0.14956847819510966,6.6017352612998605,0.9819703282472075,0.022139930979041322,104
genus,EcoBank,EcoBank_prop_edaphophilic_mean_logit,root_N_mean,0.019446529305441537,0.10434162213845088,0.8525331223040381,0.022139930979041322,104
genus,EcoBank,EcoBank_prop_rhizophilic_mean_logit,const,13.815509557935009,2.9763302717306597e-13,0.0,-31647.110576923078,104
genus,EcoBank,EcoBank_prop_rhizophilic_mean_logit,root_diameter_mean,3.774758283725532e-15,1.1479773219587177e-13,0.9738350343086047,-31647.110576923078,104
genus,EcoBank,EcoBank_prop_rhizophilic_mean_logit,SRL_mean,-3.3393426912553537e-15,6.683832272340729e-16,2.5212418802367745e-06,-31647.110576923078,104
genus,EcoBank,EcoBank_prop_rhizophilic_mean_logit,RTD_mean,1.3322676295501878e-15,6.786561738736067e-13,0.9984376268505164,-31647.110576923078,104
genus,EcoBank,EcoBank_prop_rhizophilic_mean_logit,root_N_mean,2.3592239273284576e-16,1.0726283810766447e-14,0.9824963795230411,-31647.110576923078,104
