plant_species,n_samples,mean_amf_seq_richness,mean_amf_genus_richness,mean_total_reads
Zea mays,126,995.5079365079365,1.9841269841269842,5442283.214285715
Arrhenatherum elatius,117,222.72649572649573,2.982905982905983,3813350.128205128
Daucus carota,116,274.5086206896552,2.836206896551724,2698070.6982758623
Plantago lanceolata,102,158.7549019607843,2.264705882352941,916874.9117647059
Vitis vinifera,76,84.60526315789474,2.6578947368421053,205271.02631578947
Botrychium lunaria,71,46.91549295774648,1.676056338028169,47660.74647887324
Stachys sylvatica,68,147.02941176470588,1.8235294117647058,161361.5
Achillea millefolium,65,168.36923076923077,2.2,2427807.107692308
Malus domestica,63,14.904761904761905,1.3968253968253967,3478.2380952380954
Asclepias speciosa,59,575.8813559322034,2.5084745762711864,1735863.779661017
Tanacetum vulgare,48,607.1666666666666,3.4166666666666665,12710950.208333334
NA_,48,28.5625,1.0833333333333333,10870.583333333334
Solanum tuberosum,42,61.95238095238095,1.1904761904761905,73667.45238095238
Oryza sativa,37,47.83783783783784,1.162162162162162,133819.75675675675
Centaurea stoebe,36,42.583333333333336,2.4166666666666665,19298.833333333332
Solidago virgaurea,34,35.794117647058826,1.0588235294117647,47079.55882352941
Alnus glutinosa,32,33.59375,1.15625,55154.40625
Acer platanoides,29,57.55172413793103,1.2413793103448276,32232.44827586207
Triticum aestivum,28,41.785714285714285,1.7142857142857142,18954.464285714286
Voyria tenella,27,6.518518518518518,1.037037037037037,370.0740740740741
Eragostis tef,27,687.0370370370371,4.592592592592593,2851783.4444444445
Acer saccharum,25,39.6,1.16,6248.32
Glycine max,24,3474.1666666666665,3.7083333333333335,62715907.458333336
Trifolium repens,24,51.666666666666664,1.0416666666666667,71718.125
Nicotiana glauca,24,466.1666666666667,3.375,6301592.041666667
Leymus mollis,22,41.77272727272727,1.1363636363636365,14992.681818181818
Artemisia vulgaris,22,108.72727272727273,4.090909090909091,331903.1818181818
Ammophila arenaria,21,58.61904761904762,1.0952380952380953,50547.619047619046
Tamarix aphylla,21,261.1904761904762,2.8095238095238093,846393.2380952381
Knautia arvensis,20,2.55,1.05,155.15
Populus deltoides,20,27.65,2.9,2120.65
Themeda triandra,18,18.333333333333332,1.8888888888888888,1607.0
Digitaria macroblephara,17,19.470588235294116,2.235294117647059,1233.764705882353
Calamagrostis epigejos,16,39.4375,1.625,31511.6875
Sorghum bicolor,16,35.0,1.25,40214.875
Cenchrus setaceus,15,2037.9333333333334,3.1333333333333333,55748680.13333333
Talipariti tiliaceum,13,9.846153846153847,1.2307692307692308,464.61538461538464
Hyparrhenia hirta,13,2529.3076923076924,3.0,131355624.6923077
Echinops sphaerocephalus,12,85.66666666666667,3.6666666666666665,32566.833333333332
Solidago canadensis,12,853.0,4.416666666666667,5176936.583333333
Capsicum annuum,12,2429.8333333333335,3.4166666666666665,31501324.583333332
Pancratium maritimum,12,5608.25,2.1666666666666665,244196228.33333334
Symphiotrichum novi-belgii,12,169.16666666666666,3.4166666666666665,410319.0833333333
Erigeron annuus,12,347.4166666666667,3.5833333333333335,1953525.6666666667
Spinifex sericeus,11,32.72727272727273,1.7272727272727273,5814.181818181818
Conyza canadensis,11,323.3636363636364,3.1818181818181817,1666837.2727272727
Galium verum,11,28.454545454545453,1.0909090909090908,4910.181818181818
Artemisia frigida,11,38.18181818181818,1.9090909090909092,11004.727272727272
Helictochloa pratensis,10,41.5,1.8,4230.1
Prunella vulgaris,10,6.4,1.7,101.1
Artocarpus altilis,9,30.555555555555557,1.6666666666666667,9501.222222222223
Podococcus barteri,9,2.6666666666666665,1.0,11.777777777777779
Nephrolepis hirsutula,9,16.0,1.3333333333333333,837.2222222222222
Trifolium pratense,9,41.77777777777778,1.0,73859.11111111111
Linnaea borealis,9,26.666666666666668,1.3333333333333333,9013.666666666666
Rubus saxatilis,9,145.88888888888889,1.5555555555555556,518668.1111111111
Citrus sinensis,9,2009.111111111111,3.888888888888889,36792276.0
Filipendula vulgaris,8,12.25,1.125,1507.375
Calamagrostis purpurea,8,11.375,1.25,1220.875
Santolina chamaecyparissus,8,51.75,2.25,17004.875
Simarouba amara,8,4.0,1.5,74.75
Cocos nucifera,8,10.875,1.25,485.375
Phagnalon saxatile,8,24.125,2.125,4372.875
Potentilla acaulis,8,14.5,1.75,633.375
Poncirus trifoliata,8,12.0,1.25,684.375
Agropyron cristatum,8,12.875,2.25,263.375
Megathyrsus maximus,8,34.125,1.75,3834.0
Aristida contorta,7,51.0,1.1428571428571428,64806.28571428572
Toxicodendron succedaneum,7,3.857142857142857,1.2857142857142858,42.285714285714285
Potentilla recta,7,13.857142857142858,1.8571428571428572,883.0
Taraxacum officinale,7,14.571428571428571,1.5714285714285714,704.5714285714286
Salvia rosmarinus,7,21.571428571428573,2.142857142857143,1139.2857142857142
Thalictrum minus,7,28.0,1.2857142857142858,5696.428571428572
Schima superba,7,6.142857142857143,1.7142857142857142,149.85714285714286
Azorella trifurcata,7,13.142857142857142,1.8571428571428572,289.14285714285717
Dichrostachys cinerea,7,61.714285714285715,1.4285714285714286,62940.57142857143
Eragrostis barrelieri,7,100.57142857142857,1.5714285714285714,83693.14285714286
Itea oblonga,6,3.8333333333333335,1.6666666666666667,21.833333333333332
Glandularia dissecta,6,2.3333333333333335,1.3333333333333333,6.833333333333333
Plantago argentina,6,2.0,1.3333333333333333,5.5
Virola sebifera,6,2.6666666666666665,1.3333333333333333,10.833333333333334
Alseis blackiana,6,4.166666666666667,1.6666666666666667,39.0
Koeleria macrantha,6,4.666666666666667,1.5,41.5
Cacalia kamtschatica,6,15.833333333333334,1.0,5503.333333333333
Chimonanthus salicifolius,6,2.5,1.0,14.833333333333334
