plant_species,n_samples,mean_amf_seq_richness,mean_amf_genus_richness,mean_total_reads
Syzygium buxifolium,6,8.5,2.1666666666666665,89.16666666666667
Convallaria majalis,6,67.66666666666667,1.1666666666666667,175034.0
Ternstroemia gymnanthera,6,10.833333333333334,1.5,1759.3333333333333
Phacelia secunda,6,15.833333333333334,2.1666666666666665,459.3333333333333
Elymus nutans,6,72.0,1.6666666666666667,62281.333333333336
Microsorum scolopendria,6,7.166666666666667,1.1666666666666667,167.83333333333334
Arum italicum,6,24.0,1.0,3799.8333333333335
Citrullus colocynthis,6,20.666666666666668,1.6666666666666667,2644.5
Amphicarpaea bracteata,5,11.6,1.2,1093.4
Bromus tectorum,5,167.6,4.0,196012.6
Chondrosum gracile,5,11.6,1.4,327.6
Lotus jacobaeus,5,33.8,1.2,14416.8
Scorzoneroides autumnalis,5,9.0,1.0,925.6
Adinandra millettii,5,3.6,1.6,16.2
Loropetalum chinense,5,30.8,2.6,1671.4
Montinia caryophyllacea,5,4.2,1.4,79.6
Digitaria eriantha,5,49.8,2.2,8468.8
Machilus thunbergii,5,1.2,1.2,1.2
Morella rubra,5,4.0,1.4,51.2
Chamaecyparis obtusa,5,5.4,1.6,108.0
Santiria trimera,5,2.0,1.0,5.8
Triraphis mollis,5,102.6,1.0,173747.8
Hedera helix,5,29.0,1.6,3809.8
Euphorbia esula,5,274.2,6.6,490477.6
Borreria eryngioides,4,1.0,1.0,1.0
Sorocea affinis,4,2.25,1.5,6.0
Ajuga reptans,4,58.5,1.75,44082.5
Begonia susaniae,4,12.0,1.25,514.25
Avenella flexuosa,4,261.0,1.5,392784.5
Cenchrus ciliaris,4,4.75,1.0,44.0
Poa attenuata,4,116.5,2.0,122789.25
Ruscus aculeatus,4,8.0,1.0,314.5
Rosmarinus officinalis,4,163.25,3.0,238201.5
Ranunculus sulphureus,4,8.25,1.0,687.75
Ranunculus pedatifidus,4,17.0,2.75,544.5
Solidago missouriensis,4,2.25,1.0,11.5
Cinnamomum subavenium,4,1.0,1.0,1.0
Cicer arietinum,4,47.75,2.75,1941.75
Dichanthium annulatum,4,5.0,1.75,56.25
Daphniphyllum oldhamii,4,3.0,1.75,8.0
Campanula jacobaea,4,22.25,3.25,1254.75
Thalictrum foetidum,4,13.5,2.0,686.75
Asphodelus aestivus,4,38.75,2.25,4436.0
Stipa krylovii,4,25.75,2.25,1764.5
Combretum micranthum,4,8.5,1.25,451.75
Commelina benghalensis,4,9.0,1.75,80.0
Brachypodium retusum,4,15.75,2.0,458.5
Festuca lenensis,4,21.75,2.0,1423.0
Hedera nepalensis,4,14.0,1.75,499.0
Medicago truncatula,4,98.0,2.5,18907.0
Pisum sativum,4,106.75,2.75,30633.5
Photinia glabra,4,3.25,1.0,30.75
Podocarpus coriaceus,4,23.5,1.0,4380.0
Heliotropium ramosissimum,4,49.75,2.0,12254.75
Goodenia geniculata,4,3.0,1.0,32.5
Lens culinaris,4,99.5,2.25,86995.75
Anemone hepatica,4,14.0,1.25,2990.0
Vachellia erioloba,4,21.0,1.25,856.0
Veronica incana,4,15.0,2.0,2107.0
Thymus zygis,4,20.25,2.5,1925.5
Thymus mastichina,4,75.25,4.0,31283.25
Ainsliaea latifolia,4,12.5,1.25,688.25
Ainsliaea aptera,3,1.6666666666666667,1.3333333333333333,3.6666666666666665
Agrostis perennans,3,10.666666666666666,2.0,462.3333333333333
Trientalis europaea,3,23.0,1.0,1287.0
Veronica spicata,3,5.666666666666667,1.0,64.33333333333333
Hesperostipa comata,3,3.3333333333333335,1.0,82.33333333333333
Erodium crassifolium,3,7.333333333333333,1.3333333333333333,61.666666666666664
Helianthemum viscarium,3,136.33333333333334,1.0,76834.0
Lilium debile,3,3.6666666666666665,1.3333333333333333,74.66666666666667
Lomandra multiflora,3,9.0,1.3333333333333333,110.33333333333333
Hedera colchica,3,15.333333333333334,1.0,685.3333333333334
Stipa pubescens,3,99.0,1.3333333333333333,61850.666666666664
Tetragastris panamensis,3,2.3333333333333335,1.0,17.666666666666668
Campanula rotundifolia,3,175.33333333333334,1.0,454608.0
Viola mirabilis,3,1.6666666666666667,1.0,12.666666666666666
Solidago spiraeifolia,3,3.6666666666666665,1.0,121.0
Sorghastrum pellitum,3,1.6666666666666667,1.0,5.666666666666667
Maianthemum bifolium,3,7.333333333333333,1.0,1275.0
Mercurialis perennis,3,1.6666666666666667,1.0,11.666666666666666
Gerbera crocea,3,4.0,1.6666666666666667,44.666666666666664
Polyalthia suaveolens,3,1.6666666666666667,1.3333333333333333,2.3333333333333335
Gabonius ngouniensis,3,4.0,1.0,25.333333333333332
Genista cinerea,3,120.66666666666667,4.0,84306.0
Paris incompleta,3,64.0,1.3333333333333333,19533.0
Distylium myricoides,3,6.0,1.0,95.0
Plantago afra,3,5.666666666666667,2.0,47.0
Allium bidentatum,3,15.666666666666666,2.6666666666666665,442.3333333333333
Actinotus minor,3,6.666666666666667,1.0,250.33333333333334
Allium amphibolum,3,81.0,2.3333333333333335,17570.333333333332
Cymbopogon nardus,3,19.333333333333332,1.0,1231.6666666666667
Daucus annuus,3,69.33333333333333,1.6666666666666667,13030.333333333334
Chloris truncata,3,2.6666666666666665,1.0,15.0
Citrus tangerina,3,1.3333333333333333,1.0,3.0
Sporobolus fimbriatus,3,98.66666666666667,2.3333333333333335,85357.66666666667
Ballota undulata,3,490.3333333333333,1.6666666666666667,1160294.3333333333
Solidago chilensis,3,2.3333333333333335,1.0,9.666666666666666
Pulicaria diffusa,3,33.0,1.0,7261.333333333333
Vinca minor,2,38.5,2.5,2053.5
Vincetoxicum hirundinaria,2,10.5,1.0,510.5
Agrostis capillaris,2,20.0,2.5,2468.0
Trachystemon orientalis,2,18.5,2.0,813.0
Barleria sp.,2,3.0,1.0,20.5
Alniphyllum fortunei,2,3.5,1.5,13.5
Sanicula elata,2,2.5,1.0,36.5
Plantago media,2,1.0,1.0,1.5
Podophyllum peltatum,2,2.5,1.0,16.5
Plectranthus mollis,2,5.0,1.0,91.0
Portulaca lutea,2,5.0,1.0,45.5
Potentilla hyparctica,2,63.0,3.5,7401.5
Olearia sp.,2,1.5,1.5,1.5
Echinochloa colona,2,40.5,1.0,13000.5
Neolitsea aurata,2,1.0,1.0,1.0
Prosopis juliflora,2,14.5,1.5,1653.5
Pallenis spinosa,2,5.5,1.0,85.5
Geranium sylvaticum,2,3.5,1.5,24.5
Cecropia obtusa,2,1.0,1.0,1.0
Aspalathus cordata,2,11.0,1.5,658.0
Citrus sp.,2,1.0,1.0,1.5
Geum urbanum,2,74.0,1.0,19684.5
Lavandula latifolia,2,110.0,2.0,64881.5
Festuca vivipara,2,2.0,1.5,4.5
Lathyrus magellanicus,2,18.5,1.5,538.0
Hypochaeris radicata,2,34.5,1.0,5079.5
Heterotheca villosa,2,13.0,1.0,701.0
Helichrysum stoechas,2,5.5,2.5,36.0
Geranium sessiliflorum,2,22.0,2.0,1242.5
Galium elegans,2,2.5,2.0,5.5
Dryopteris sp.,2,16.0,1.5,2248.0
Gymnostoma deplancheanum,2,2.5,1.5,20.5
Leptorhynchos squamatus,2,5.0,1.0,123.0
Vachellia seyal,2,216.5,1.0,346540.0
Androsace incana,2,15.5,2.0,424.5
Amorphophallus sp.,2,3.0,1.5,9.5
Aristida funiculata,2,3.5,1.5,14.0
Artemisia ludoviciana,2,2.0,1.0,5.0
Scaevola beckii,2,2.0,1.0,8.0
Briza media,2,3.0,1.0,48.0
Sesleria caerulea,2,5.5,1.5,46.0
Deschampsia cespitosa,2,4.0,1.0,22.0
Strobilanthes sp.,2,2.5,1.5,6.5
Asphodelus ramosus,2,172.5,1.5,59048.5
Crotalaria albida,2,2.0,1.5,5.0
Epacris microphylla,2,29.0,1.0,8180.0
Senna obtusifolia,2,13.0,2.0,371.5
Desmopsis panamensis,2,4.5,1.5,24.5
Conyza pannosa,2,55.5,2.5,15426.0
Camellia fraterna,2,1.0,1.0,1.0
Eperua grandiflora,2,1.0,1.0,1.0
Pterocephalus brevis,2,207.0,2.0,66183.0
Triplophyllum vogelii,1,2.0,2.0,2.0
Ageratum conyzoides,1,8.0,4.0,26.0
Veratrum oxysepalum,1,6.0,1.0,72.0
Tricoryne elatior,1,1.0,1.0,2.0
Krigia biflora,1,4.0,1.0,44.0
Lomandra insularis,1,2.0,1.0,6.0
Faidherbia albida,1,156.0,3.0,27455.0
Festuca ovina,1,53.0,2.0,13157.0
Lotus brunneri,1,2.0,1.0,4.0
Geranium erianthum,1,3.0,2.0,5.0
Dicranopteris linearis,1,92.0,1.0,22264.0
Parthenocissus quinquefolia,1,3.0,1.0,21.0
Muraltia alopecuroides,1,6.0,1.0,54.0
Montrouziera sphaeroidea,1,7.0,1.0,133.0
Musanga cecropioides,1,1.0,1.0,1.0
Hypericum empetrifolium,1,11.0,1.0,352.0
Helianthemum sp.,1,1.0,1.0,1.0
Heisteria concinna,1,3.0,1.0,18.0
Crotalaria prostrata,1,1.0,1.0,1.0
Rubia peregrina,1,2.0,1.0,4.0
Rumex acetosella,1,12.0,2.0,234.0
Rytidosperma setaceum,1,1.0,1.0,1.0
Platycladus orientalis,1,7.0,1.0,98.0
Oxalis valdiviensis,1,6.0,2.0,26.0
Selaginella kraussiana,1,3.0,2.0,5.0
Elephantopus scaber,1,35.0,1.0,1470.0
Eperua falcata,1,1.0,1.0,1.0
Crotalaria microphylla,1,29.0,1.0,2465.0
Crossopterix febrifuga,1,11.0,4.0,83.0
Enteropogon prieurii,1,60.0,1.0,15300.0
Pultenaea daphnoides,1,12.0,1.0,348.0
Psychotria urbaniana,1,9.0,2.0,69.0
Embothrium coccineum,1,5.0,2.0,18.0
Cornus suecica,1,24.0,2.0,707.0
Colophospermum mopane,1,4.0,1.0,24.0
Solenogyne dominii,1,5.0,1.0,170.0
Chaerophyllum andicola,1,9.0,2.0,265.0
Dicorynia guianensis,1,1.0,1.0,1.0
Sarcococca sp.,1,5.0,1.0,30.0
Saxifraga cespitosa,1,1.0,1.0,1.0
Saxifraga oppositifolia,1,7.0,2.0,49.0
Sporobolus ioclados,1,5.0,2.0,66.0
Betonica officinalis,1,1.0,1.0,1.0
Capparis erythrocarpus,1,2.0,1.0,4.0
Cenchrus polystachios,1,2.0,2.0,2.0
Cardamine bulbifera,1,1.0,1.0,1.0
Alopecurus magellanicus,1,3.0,1.0,9.0
Acanthaceae sp.,1,2.0,1.0,2.0
Vietnamosasa pusilla,1,30.0,1.0,2790.0
Zyziphus mauritiana,1,1.0,1.0,1.0
