id,paper_id,latitude,longitude,continent,Biome,MAT,MAP,pH,year_of_sampling,plant_species,amf_seq_richness,amf_genus_richness,total_reads
4918,Davison_2015_1GM,22.3744,81.9022,Asia,forest,25.3,1262,5.45,2011.0,Crotalaria prostrata,1,1,1
5087,Davison_2015_1GM,16.8594,100.465,Asia,forest,27.0,1519,5.2,2009.0,Acanthaceae sp.,2,1,2
5111,Sheldrake_2017_86BA,9.11006,-79.8434,North America,forest,26.1,2921,5.5,2012.0,Heisteria concinna,3,1,18
5148,Davison_2015_1GM,-38.6993,-71.6155,South America,forest,8.0,1287,5.7,2012.0,Oxalis valdiviensis,6,2,26
5228,Davison_2015_1GM,69.8136,27.1736,Europe,tundra,-0.7,387,,2008.0,Cornus suecica,24,2,707
5327,Davison_2015_1GM,16.8594,100.465,Asia,forest,27.0,1519,4.6,2009.0,Elephantopus scaber,35,1,1470
5403,Davison_2015_1GM,-2.6814,35.1208,Africa,grassland,20.0,726,6.8,2012.0,Sporobolus ioclados,5,2,66
5477,Davison_2015_1GM,39.2433,-86.2167,North America,forest,12.1,1197,3.5,2011.0,Krigia biflora,4,1,44
5503,Davison_2015_1GM,22.3744,81.9022,Asia,forest,25.3,1262,5.45,2011.0,Sarcococca sp.,5,1,30
5769,Davison_2015_1GM,16.8594,100.465,Asia,forest,27.0,1519,5.2,2009.0,Vietnamosasa pusilla,30,1,2790
5791,Davison_2018_1AQ,-22.1822,166.732,Australia,shrubland,22.2,1720,4.3,2011.0,Lomandra insularis,2,1,6
5844,Davison_2018_1AQ,78.2006,15.8153,Europe,tundra,-5.9,275,5.7,2009.0,Alopecurus magellanicus,3,1,9
6069,Davison_2015_1GM,5.2572,-52.9297,South America,forest,26.1,2540,3.9,2007.0,Dicorynia guianensis,1,1,1
6539,Benucci_2020_1AF,-41.2582,174.772,Australia,forest,13.1,1116,,2014.0,Selaginella kraussiana,3,2,5
6549,Davison_2015_1GM,39.2361,-86.2205,North America,forest,12.1,1196,5.0,2011.0,Parthenocissus quinquefolia,3,1,21
6564,Davison_2018_1AQ,16.8053,-22.9211,Africa,desert,23.3,78,7.5,2009.0,Crotalaria microphylla,29,1,2465
6629,Davison_2015_1GM,0.6172,10.4136,Africa,forest,22.2,2432,,2009.0,Musanga cecropioides,1,1,1
6813,Davison_2018_1AQ,-22.1836,166.729,Australia,shrubland,22.5,1590,6.0,2011.0,Montrouziera sphaeroidea,7,1,133
6834,Davison_2015_1GM,-37.3333,142.15,Australia,grassland,13.5,643,5.3,2010.0,Tricoryne elatior,1,1,2
6953,Davison_2015_1GM,30.5933,34.7114,Asia,desert,16.9,114,,2009.0,Helianthemum sp.,1,1,1
6976,Davison_2015_1GM,-37.3333,142.15,Australia,grassland,13.5,643,5.3,2010.0,Solenogyne dominii,5,1,170
7011,Davison_2015_1GM,41.9333,43.4233,Asia,forest,7.8,984,4.2,2010.0,Cardamine bulbifera,1,1,1
7084,Davison_2015_1GM,44.7544,-0.395278,Europe,forest,13.5,881,,2008.0,Rubia peregrina,2,1,4
7137,Davison_2015_1GM,43.5911,-1.2481,Europe,forest,14.4,1374,,2008.0,Betonica officinalis,1,1,1
7169,Davison_2015_1GM,22.3772,81.8992,Asia,forest,25.2,1404,5.45,2011.0,Ageratum conyzoides,8,4,26
7453,Davison_2015_1GM,0.6172,10.4136,Africa,forest,22.2,2432,3.6,2009.0,Triplophyllum vogelii,2,2,2
7704,Davison_2015_1GM,56.06,159.912,Asia,forest,0.0,477,4.8,2010.0,Geranium erianthum,3,2,5
7719,Davison_2015_1GM,5.2583,-52.9297,South America,forest,26.1,2590,3.9,2007.0,Eperua falcata,1,1,1
7727,Davison_2018_1AQ,78.2006,15.8153,Europe,tundra,-5.9,275,5.7,2009.0,Saxifraga cespitosa,1,1,1
