sample_id,plant_species,latitude,longitude,MAT,MAP,pH,amf_seq_richness,amf_genus_richness,total_reads
539,Daucus carota,49.5289,17.0861,9.1,617,7.59,1,1,2
541,Daucus carota,49.9992,14.3336,9.0,460,7.59,2,2,3
543,Achillea millefolium,50.0901,14.6371,9.1,563,4.62,1082,3,21060308
544,Daucus carota,50.21,14.6792,9.4,558,4.93,5,3,38
546,Centaurea stoebe,48.201,16.974,10.7,612,7.96,6,1,72
548,Knautia arvensis,50.0588,12.7877,6.3,655,5.61,1,1,8
551,Tanacetum vulgare,50.2078,14.6825,9.5,534,6.51,7,2,84
558,Arrhenatherum elatius,50.0867,14.6342,9.1,563,4.77,7,4,31
559,Daucus carota,50.0867,14.6342,9.1,563,4.77,544,3,1951522
560,Daucus carota,50.0861,14.6364,9.1,563,5.37,1384,5,6902699
564,Arrhenatherum elatius,50.0901,14.6371,9.1,563,4.62,127,3,40848
565,Echinops sphaerocephalus,50.0853,14.2792,8.4,507,7.1,29,3,4005
567,Echinops sphaerocephalus,50.0572,14.3547,8.7,485,6.29,44,2,5721
568,Vitis vinifera,46.3936,4.74694,11.7,783,8.09,8,3,343
569,Tanacetum vulgare,50.21,14.6792,9.4,558,4.93,322,4,881973
571,Solidago canadensis,50.0267,14.5414,8.9,535,5.18,1186,4,6598473
577,Knautia arvensis,50.0643,12.7943,6.2,652,6.02,1,1,4
578,Daucus carota,49.7357,16.96,9.1,585,7.51,14,4,118
579,Vitis vinifera,46.3122,4.7225,11.2,840,7.96,9,1,6615
580,Vitis vinifera,47.0692,4.85583,11.2,752,7.99,3,2,43
581,Daucus carota,49.7354,16.96,9.1,585,7.41,1,1,2
586,Arrhenatherum elatius,50.21,14.6792,9.4,558,4.93,2,2,2
587,Vitis vinifera,47.1528,4.96806,11.5,692,8.02,34,2,41586
588,Vitis vinifera,47.1608,4.94806,11.0,721,8.06,9,2,505
589,Vitis vinifera,47.1608,4.94806,11.0,721,8.06,28,1,12152
590,Vitis vinifera,47.1608,4.94806,11.0,721,8.06,7,1,1701
591,Vitis vinifera,46.2639,4.76583,11.9,840,7.63,46,1,64078
592,Daucus carota,50.0269,14.5419,9.0,512,6.48,44,5,2597
595,Daucus carota,50.21,14.6792,9.4,558,4.93,3,2,24
596,Daucus carota,49.5288,17.0863,9.1,617,7.66,177,2,211031
597,Achillea millefolium,50.085,14.2944,8.4,491,7.08,4,2,13
599,Daucus carota,49.5288,17.0863,9.1,617,7.66,3,2,22
601,Erigeron annuus,50.2486,14.8917,9.2,588,7.38,2,2,5
604,Vitis vinifera,47.0711,4.86222,11.2,761,8.02,12,3,184
608,Tanacetum vulgare,50.0864,14.6356,9.1,563,5.57,747,3,4526371
610,Arrhenatherum elatius,49.7354,16.96,9.1,585,7.41,7,4,34
612,Vitis vinifera,47.1717,4.93778,10.5,766,7.84,17,1,6664
613,Arrhenatherum elatius,50.0903,14.6369,9.1,563,5.99,282,5,175292
615,Vitis vinifera,46.9256,4.7125,10.8,790,8.11,54,3,12689
620,Symphiotrichum novi-belgii,50.0901,14.6371,9.1,563,4.62,271,4,315630
621,Daucus carota,50.0903,14.6369,9.1,563,5.99,1332,4,10963464
622,Arrhenatherum elatius,50.5714,14.6514,8.7,580,6.42,32,2,7432
623,Vitis vinifera,46.4908,4.78889,11.5,810,8.07,5,1,245
625,Tanacetum vulgare,50.5714,14.6514,8.7,580,6.42,6,2,22
626,Solidago canadensis,50.21,14.6792,9.4,558,4.93,484,3,2776671
627,Artemisia vulgaris,49.7354,16.96,9.1,585,7.41,20,5,1591
628,Achillea millefolium,50.0901,14.6371,9.1,563,4.62,1138,3,41663286
631,Arrhenatherum elatius,50.0267,14.5414,8.9,535,5.18,5,3,50
632,Knautia arvensis,50.0588,12.7877,6.3,655,5.59,4,1,73
633,Achillea millefolium,50.0572,14.3547,8.7,485,6.29,6,2,36
636,Tanacetum vulgare,50.0864,14.6356,9.1,563,5.57,2188,5,220731906
637,Knautia arvensis,50.0643,12.7943,6.2,652,5.58,1,1,8
638,Knautia arvensis,50.065,12.7509,6.0,682,5.33,2,1,20
639,Achillea millefolium,50.0572,14.3547,8.7,485,6.29,7,5,16
640,Tanacetum vulgare,50.0269,14.5419,9.0,512,6.48,6,3,17
641,Erigeron annuus,50.2486,14.8917,9.2,588,7.38,161,5,83132
642,Knautia arvensis,50.0588,12.7877,6.3,655,5.54,6,1,288
643,Daucus carota,50.2078,14.6825,9.5,534,6.51,15,2,1027
645,Knautia arvensis,50.0632,12.7536,6.0,682,4.65,2,1,20
646,Erigeron annuus,50.2486,14.8917,9.2,588,7.38,333,2,513716
648,Arrhenatherum elatius,50.1147,14.2922,8.5,506,6.25,565,4,642219
650,Knautia arvensis,50.0588,12.7877,6.3,655,5.58,1,1,8
653,Vitis vinifera,46.4908,4.78889,11.5,810,8.07,10,1,910
654,Conyza canadensis,49.7354,16.96,9.1,585,7.41,2145,8,6834731
657,Daucus carota,50.0583,14.3481,8.7,467,6.76,26,2,1945
660,Artemisia vulgaris,49.5288,17.0863,9.1,617,7.66,1,1,1
662,Arrhenatherum elatius,50.1392,14.3699,8.9,464,7.05,5,1,25
663,Tanacetum vulgare,50.21,14.6792,9.4,558,4.93,4,3,15
665,Tanacetum vulgare,50.5714,14.6514,8.7,580,6.42,357,3,788291
666,Artemisia vulgaris,50.1393,14.3697,8.9,464,7.09,75,3,18486
671,Daucus carota,50.2078,14.6825,9.5,534,6.51,191,3,459835
672,Knautia arvensis,50.0588,12.7877,6.3,655,5.63,1,1,8
673,Conyza canadensis,50.1393,14.3697,8.9,464,7.09,505,1,7574123
674,Arrhenatherum elatius,50.0853,14.2792,8.4,507,7.1,1,1,8
678,Arrhenatherum elatius,50.0267,14.5414,8.9,535,5.18,300,3,2460402
684,Achillea millefolium,50.0853,14.2792,8.4,507,7.1,1,1,1
685,Knautia arvensis,50.0588,12.7877,6.3,655,5.88,1,1,4
686,Daucus carota,50.0853,14.2792,8.4,507,7.1,1,1,8
687,Vitis vinifera,47.1717,4.93778,10.5,766,7.84,2,1,42
688,Arrhenatherum elatius,50.0267,14.5414,8.9,535,5.18,428,4,1965392
689,Vitis vinifera,46.9256,4.7125,10.8,790,8.11,5,2,71
690,Arrhenatherum elatius,50.2481,14.8922,9.2,588,7.43,183,3,118155
695,Tanacetum vulgare,50.2078,14.6825,9.5,534,6.51,5,3,18
702,Vitis vinifera,47.1608,4.94806,11.0,721,8.06,50,3,8334
704,Arrhenatherum elatius,50.1147,14.2922,8.5,506,6.25,3,2,6
705,Achillea millefolium,50.1147,14.2922,8.5,506,6.25,6,2,29
707,Arrhenatherum elatius,49.7357,16.96,9.1,585,7.51,5,3,30
710,Arrhenatherum elatius,50.0572,14.3547,8.7,485,6.29,59,4,3223
711,Knautia arvensis,50.0588,12.7877,6.3,655,5.56,18,1,2592
713,Vitis vinifera,47.1528,4.96806,11.5,692,8.02,7,2,637
715,Centaurea stoebe,48.201,16.974,10.7,612,7.37,89,2,4348
724,Artemisia vulgaris,50.1392,14.3699,8.9,464,7.05,31,2,20822
726,Vitis vinifera,46.2639,4.76583,11.9,840,7.63,46,2,6468
731,Vitis vinifera,46.3936,4.74694,11.7,783,8.09,2,1,28
734,Vitis vinifera,46.3936,4.74694,11.7,783,8.09,14,2,410
735,Vitis vinifera,46.2639,4.76583,11.9,840,7.63,18,2,1330
736,Centaurea stoebe,48.201,16.974,10.7,612,7.42,8,3,74
737,Centaurea stoebe,48.201,16.974,10.7,612,7.94,15,1,480
741,Arrhenatherum elatius,50.21,14.6792,9.4,558,4.93,3,2,6
743,Centaurea stoebe,48.201,16.974,10.7,612,7.23,6,1,36
746,Arrhenatherum elatius,49.5288,17.0863,9.1,617,7.66,1,1,4
750,Arrhenatherum elatius,50.2486,14.8917,9.2,588,7.38,5,2,22
753,Arrhenatherum elatius,50.2486,14.8917,9.2,588,7.38,7,1,25
754,Tanacetum vulgare,50.0864,14.6356,9.1,563,5.57,8,2,80
759,Knautia arvensis,50.0716,12.7864,6.2,648,4.69,2,1,20
761,Daucus carota,50.0572,14.3547,8.7,485,6.29,5,2,11
771,Conyza canadensis,49.7354,16.96,9.1,585,7.41,5,3,15
773,Daucus carota,49.9992,14.3336,9.0,460,7.59,5,3,22
777,Centaurea stoebe,48.201,16.974,10.7,612,7.03,8,2,55
778,Artemisia vulgaris,50.1392,14.3699,8.9,464,7.05,3,2,5
780,Achillea millefolium,50.115,14.2897,8.5,509,6.33,4,2,39
783,Achillea millefolium,49.9992,14.3336,9.0,460,7.59,7,5,35
792,Centaurea stoebe,48.201,16.974,10.7,612,7.49,2,1,2
803,Centaurea stoebe,48.201,16.974,10.7,612,6.9,1,1,1
804,Daucus carota,50.1393,14.3697,8.9,464,7.09,6,4,27
807,Arrhenatherum elatius,50.5714,14.6442,8.6,577,5.47,1,1,1
809,Centaurea stoebe,48.201,16.974,10.7,612,7.24,1,1,8
812,Arrhenatherum elatius,50.0867,14.6342,9.1,563,4.77,2,1,4
817,Achillea millefolium,50.0583,14.3481,8.7,467,6.76,2,2,7
818,Tanacetum vulgare,50.5714,14.6514,8.7,580,6.42,6,1,92
823,Achillea millefolium,49.9992,14.3336,9.0,460,7.59,3,1,27
828,Achillea millefolium,49.9989,14.3386,9.0,460,7.55,2,2,3
829,Daucus carota,50.1393,14.3697,8.9,464,7.09,6,4,25
834,Achillea millefolium,49.9992,14.3336,9.0,460,7.59,2,2,6
837,Centaurea stoebe,48.201,16.974,10.7,612,8.22,1,1,2
841,Daucus carota,50.1392,14.3699,8.9,464,7.05,2,1,4
842,Centaurea stoebe,48.201,16.974,10.7,612,7.09,2,2,5
843,Vitis vinifera,46.4908,4.78889,11.5,810,8.07,2,2,8
845,Centaurea stoebe,48.201,16.974,10.7,612,7.16,5,2,27
850,Artemisia vulgaris,50.1392,14.3699,8.9,464,7.05,2,1,4
852,Achillea millefolium,49.9989,14.3386,9.0,460,7.55,3,2,10
853,Achillea millefolium,49.9989,14.3386,9.0,460,7.55,2,2,9
855,Centaurea stoebe,48.201,16.974,10.7,612,7.57,1,1,1
858,Centaurea stoebe,48.201,16.974,10.7,612,7.01,8,2,55
859,Centaurea stoebe,48.201,16.974,10.7,612,7.03,3,1,9
861,Achillea millefolium,50.0572,14.3542,8.7,485,7.25,1,1,1
864,Arrhenatherum elatius,50.0867,14.6308,9.1,556,4.7,4,3,7
868,Centaurea stoebe,48.201,16.974,10.7,612,7.33,1,1,1
870,Centaurea stoebe,48.201,16.974,10.7,612,7.13,4,3,11
871,Centaurea stoebe,48.201,16.974,10.7,612,7.68,8,1,32
874,Centaurea stoebe,48.201,16.974,10.7,612,7.22,8,2,109
875,Centaurea stoebe,48.201,16.974,10.7,612,7.24,2,1,4
878,Centaurea stoebe,48.201,16.974,10.7,612,7.3,6,2,24
881,Centaurea stoebe,48.201,16.974,10.7,612,8.02,3,1,63
894,Botrychium lunaria,46.0884,7.53912,0.6,844,5.59,21,1,3654
896,Vinca minor,44.7544,-0.395278,13.5,881,,30,2,1218
900,Asclepias speciosa,46.3219,-114.129,8.7,295,,814,2,1617938
902,Plantago lanceolata,60.3448,19.9242,6.1,569,6.4,36,2,1386
907,Plantago lanceolata,60.3465,19.9281,6.2,552,,3,2,7
916,Zea mays,35.3802,139.466,15.9,1589,5.43,3315,5,29023385
917,Glycine max,35.3802,139.466,15.9,1589,5.78,3906,5,45615137
919,Eragostis tef,-26.0079,29.2006,16.1,738,4.03,325,2,1044793
930,Talipariti tiliaceum,-17.5592,-149.43,25.6,2598,5.8,41,1,4141
931,Botrychium lunaria,46.0874,7.5439,-0.3,886,6.61,47,2,6113
932,Botrychium lunaria,46.2042,7.48364,-0.7,1044,4.98,5,1,100
933,Botrychium lunaria,46.2041,7.48342,-0.7,1044,4.56,8,1,256
936,Botrychium lunaria,46.0885,7.53896,0.6,844,5.34,39,2,16379
937,Botrychium lunaria,46.2043,7.48348,-0.7,1044,5.04,177,2,196241
938,Botrychium lunaria,46.2044,7.48377,-0.7,1044,5.27,9,1,234
939,Eragostis tef,-25.9993,29.1859,16.0,778,4.39,927,4,2579685
940,Eragostis tef,-25.9993,29.1859,16.0,778,4.39,1085,7,1498726
941,Plantago lanceolata,60.3651,19.7889,6.2,549,6.8,63,4,5489
946,Zea mays,35.3802,139.466,15.9,1589,5.2,2042,4,11905031
950,Plantago lanceolata,60.2357,19.5432,6.3,527,5.0,2,2,2
951,Hyparrhenia hirta,37.8255,-1.16249,17.6,272,8.37,12081,3,997875795
970,Asclepias speciosa,46.3219,-114.129,8.7,295,,145,2,18953
984,Plantago lanceolata,60.3648,19.7892,6.2,549,,91,2,22051
985,Asclepias speciosa,46.3219,-114.129,8.7,295,,584,3,752160
992,Plantago lanceolata,60.074,20.1642,6.3,517,6.2,52,2,7141
1000,NA_,35.2969,133.583,12.5,1902,,1,1,1
1001,Plantago lanceolata,60.1408,20.2683,6.2,548,6.3,20,1,1260
1008,Glycine max,35.3802,139.466,15.9,1589,5.78,1150,4,7231204
1009,Zea mays,35.3802,139.466,15.9,1589,5.2,2503,4,10554285
1010,Zea mays,35.3802,139.466,15.9,1589,5.78,1796,5,16609059
1011,Zea mays,35.3802,139.466,15.9,1589,5.4,1965,2,9551626
1012,Zea mays,35.3802,139.466,15.9,1589,5.57,2096,3,15349431
1013,Glycine max,35.3802,139.466,15.9,1589,5.43,2269,3,14562274
1014,Glycine max,35.3802,139.466,15.9,1589,5.43,1626,4,11650230
1015,Zea mays,35.3802,139.466,15.9,1589,5.4,2225,4,14966290
1016,Glycine max,35.3802,139.466,15.9,1589,5.54,1392,3,12876897
1017,Glycine max,35.3802,139.466,15.9,1589,5.54,1242,3,9793246
1018,Glycine max,35.3802,139.466,15.9,1589,5.43,2523,4,22911460
1019,Zea mays,35.3802,139.466,15.9,1589,5.4,2688,3,10804532
1020,Glycine max,35.3802,139.466,15.9,1589,5.57,3397,5,29710672
1021,Glycine max,35.3802,139.466,15.9,1589,5.57,3282,6,31992384
1022,Zea mays,35.3802,139.466,15.9,1589,5.2,2161,3,13082367
1023,Zea mays,35.3802,139.466,15.9,1589,5.2,2148,5,11428360
1024,Zea mays,35.3802,139.466,15.9,1589,5.57,1657,5,11444893
1025,Zea mays,35.3802,139.466,15.9,1589,5.4,1740,5,6999482
1026,Zea mays,35.3802,139.466,15.9,1589,5.4,2042,5,8952045
1027,Zea mays,35.3802,139.466,15.9,1589,5.4,2007,4,8358438
1028,Zea mays,35.3802,139.466,15.9,1589,5.54,3826,5,40160014
1029,Zea mays,35.3802,139.466,15.9,1589,5.2,1694,3,6150996
1030,Zea mays,35.3802,139.466,15.9,1589,5.2,2158,5,11714155
1031,Zea mays,35.3802,139.466,15.9,1589,5.54,1949,3,12442858
1032,Zea mays,35.3802,139.466,15.9,1589,5.4,1863,3,7693209
1033,Glycine max,35.3802,139.466,15.9,1589,5.54,2330,2,24710100
1034,Zea mays,35.3802,139.466,15.9,1589,5.3,3161,5,29068030
1035,Zea mays,35.3802,139.466,15.9,1589,5.3,2368,4,12951068
1036,Zea mays,35.3802,139.466,15.9,1589,5.78,1992,2,24173669
1037,Zea mays,35.3802,139.466,15.9,1589,5.4,2021,2,7763703
1038,Zea mays,35.3802,139.466,15.9,1589,5.43,3547,5,32412531
1039,Zea mays,35.3802,139.466,15.9,1589,5.4,2179,5,8488542
1040,Glycine max,35.3802,139.466,15.9,1589,5.78,1592,5,9303161
1047,Plantago lanceolata,60.1302,20.2762,6.2,555,5.6,806,3,2294116
1052,Eragostis tef,-26.003,29.1912,16.0,775,4.16,1171,7,5944063
1053,Chimonanthus salicifolius,29.25,118.12,15.6,2110,,6,1,60
1056,Vitis vinifera,39.8349,3.01889,17.3,754,8.3,49,3,17392
1066,Vitis vinifera,39.8349,3.01889,17.3,754,8.3,80,2,44152
1070,Cenchrus setaceus,38.0204,-1.16159,18.8,278,7.77,5255,3,120070665
1071,Hyparrhenia hirta,38.0205,-1.16165,18.8,278,7.74,953,3,1507636
1072,Hyparrhenia hirta,38.221,-0.50939,18.7,339,8.61,1813,2,8802627
1073,Hyparrhenia hirta,38.2154,-0.50812,18.9,305,8.61,9587,3,574694659
1074,Cenchrus setaceus,38.2154,-0.50812,18.9,305,8.67,1814,3,12748583
1077,Dichrostachys cinerea,-24.7514,28.5761,19.2,631,4.2,4,3,8
1081,Eragostis tef,-26.0051,29.1983,16.0,757,4.69,519,3,1873235
1082,Plantago lanceolata,56.5364,16.4769,7.8,518,6.7,5,1,35
1086,Vitis vinifera,39.8349,3.01889,17.3,754,8.3,409,5,1539629
1091,Convallaria majalis,58.28,27.32,5.8,628,,281,1,1009071
1092,Zea mays,35.3802,139.466,15.9,1589,5.54,3734,5,37271362
1094,Plantago lanceolata,60.2355,19.5432,6.3,527,7.6,2,1,4
1095,Malus domestica,50.84,5.43,10.3,861,5.1,31,1,2883
1099,Vitis vinifera,39.8349,3.01889,17.3,754,8.3,55,3,22156
1102,Malus domestica,50.82,4.92,10.3,782,7.1,1,1,1
1103,Malus domestica,50.73,5.14,10.1,801,6.9,3,2,15
1107,Plantago lanceolata,60.3347,19.8004,6.1,563,6.0,1238,3,6176775
1108,Hyparrhenia hirta,38.0193,-1.16083,18.8,278,8.25,4371,3,104725389
1109,Cenchrus setaceus,38.2182,-0.50816,18.9,306,8.67,120,3,19671
1110,Cenchrus setaceus,38.019,-1.16062,18.8,278,8.45,6153,3,92368927
1111,Asclepias speciosa,46.3219,-114.129,8.7,295,,357,3,228227
1112,Hyparrhenia hirta,38.0192,-1.16073,18.8,278,8.25,14,3,358
1113,Asclepias speciosa,46.3219,-114.129,8.7,295,,1179,3,3089620
1115,Cenchrus setaceus,38.0192,-1.16073,18.8,278,8.45,9,3,59
1116,Asclepias speciosa,46.3219,-114.129,8.7,295,,1897,3,11797078
1117,Cenchrus setaceus,38.0205,-1.16165,18.8,278,7.77,622,4,1459169
1118,Asclepias speciosa,46.3219,-114.129,8.7,295,,120,3,26868
1119,Asclepias speciosa,46.3219,-114.129,8.7,295,,853,2,1685734
1120,Cenchrus setaceus,38.0207,-1.16185,18.8,278,7.77,8,3,37
1121,Hyparrhenia hirta,38.019,-1.16062,18.8,278,8.25,304,3,294346
1122,Asclepias speciosa,46.3219,-114.129,8.7,295,,3,2,53
1123,Plantago lanceolata,60.074,20.1643,6.3,517,6.3,80,3,13944
1124,Achillea millefolium,68.1612,17.5321,0.9,565,3.28,1,1,1
1144,Stachys sylvatica,50.8747,4.98412,10.5,734,5.468,35,2,2933
1145,Cenchrus setaceus,37.824,-1.16193,17.7,271,8.76,276,3,202188
1146,Vitis vinifera,39.8349,3.01889,17.3,754,8.3,104,4,59189
1151,Eragostis tef,-25.994,29.188,16.0,778,4.12,595,5,1242135
1152,Plantago lanceolata,60.218,19.5405,6.3,522,5.8,100,3,26053
1153,Asclepias speciosa,46.3219,-114.129,8.7,295,,282,3,195722
1155,Potentilla hyparctica,78.2208,15.6167,-5.9,291,5.8,53,3,3838
1156,Plantago lanceolata,60.3651,19.7889,6.2,549,6.8,22,3,754
1157,Nephrolepis hirsutula,-17.5458,-149.434,24.2,3140,5.3,1,1,1
1164,Plantago lanceolata,60.2355,19.5941,6.3,523,7.1,683,4,1634280
1167,Talipariti tiliaceum,-17.5458,-149.434,24.2,3140,5.3,7,2,25
1168,Hedera helix,43.5911,-1.2481,14.4,1374,,37,3,1445
1169,Hyparrhenia hirta,38.0684,-1.15289,17.7,360,8.42,59,3,2898
1174,Vachellia seyal,14.5781,-17.0172,25.8,472,6.1,274,1,448538
1175,NA_,34.9603,135.938,15.7,1537,,9,1,360
1187,Asclepias speciosa,46.3219,-114.129,8.7,295,,108,2,15744
1189,Triticum aestivum,50.3,-107.683,4.0,402,6.5,54,1,7938
1192,Populus deltoides,30.4689,116.991,17.5,1392,7.65,77,5,15234
1193,Eragostis tef,-26.0091,29.2023,16.1,738,4.03,668,4,950128
1194,Plantago lanceolata,60.3343,19.8005,6.1,563,5.3,71,3,15113
1199,Nicotiana glauca,38.0463,-1.19511,18.6,303,7.85,567,4,3639071
1200,Asclepias speciosa,46.3219,-114.129,8.7,295,,250,2,72310
1201,Chloris truncata,-35.1175,138.665,14.6,775,4.0,3,1,12
1204,Malus domestica,50.78,4.08,10.4,814,6.5,6,2,186
1205,Themeda triandra,-37.3333,142.15,13.5,643,5.0,2,1,8
1206,Poa attenuata,43.0519,104.058,4.1,125,6.7,45,2,3590
1212,Plantago lanceolata,60.3448,19.9242,6.1,569,6.4,224,5,97055
1214,Botrychium lunaria,46.0885,7.53898,0.6,844,5.47,10,1,820
1215,Vitis vinifera,39.8349,3.01889,17.3,754,8.3,72,4,43542
1219,Asclepias speciosa,46.3219,-114.129,8.7,295,,1002,2,2380461
1225,Rubus saxatilis,61.2536,73.1664,-1.5,569,4.8,4,1,152
1226,Vitis vinifera,39.8349,3.01889,17.3,754,8.3,87,4,56761
1229,Plantago lanceolata,60.2182,19.5401,6.3,522,6.5,22,3,404
1230,Botrychium lunaria,46.0872,7.5437,-0.3,886,6.61,39,2,4198
1231,Plantago lanceolata,60.218,19.5405,6.3,522,5.9,41,2,3309
1239,Santiria trimera,0.6172,10.3992,22.7,2080,3.5,3,1,12
1245,Dryopteris sp.,16.1783,-61.7317,23.5,1986,4.2,28,1,4480
1246,Poncirus trifoliata,25.2827,114.971,20.3,1436,6.4,1,1,3
1247,Malus domestica,50.93,5.09,10.5,735,6.7,14,2,1021
1248,Vitis vinifera,39.8349,3.01889,17.3,754,8.3,105,4,49389
1253,Commelina benghalensis,-24.7514,28.5761,19.2,631,4.2,16,2,156
1254,Eragostis tef,-26.0018,29.1895,16.0,775,4.16,315,6,648247
1269,Plantago lanceolata,60.3447,19.9239,6.1,569,6.1,2,1,4
1270,Asclepias speciosa,46.3219,-114.129,8.7,295,,497,3,446080
1275,Botrychium lunaria,46.0876,7.54385,-0.3,886,6.58,93,3,93306
1280,Zea mays,35.3802,139.466,15.9,1589,5.43,3765,5,40626028
1284,Prunella vulgaris,58.1075,22.1917,7.0,583,7.1,7,1,105
1290,Plantago lanceolata,60.1302,20.2755,6.2,555,6.3,11,2,193
1291,Asclepias speciosa,46.3219,-114.129,8.7,295,,1715,3,8746581
1293,Glycine max,35.3802,139.466,15.9,1589,5.57,2949,6,22308475
1299,Elymus nutans,33.6667,101.85,1.5,571,5.3,68,1,12580
1308,Asclepias speciosa,46.3219,-114.129,8.7,295,,66,3,3814
1310,Alnus glutinosa,50.8728,4.98764,10.5,734,3.123,73,1,16060
1318,Asclepias speciosa,46.3219,-114.129,8.7,295,,271,2,85349
1320,NA_,34.4533,136.246,13.0,2743,,1,1,8
1322,Alnus glutinosa,50.8612,4.96052,10.5,741,4.071,108,1,219996
1326,Plantago lanceolata,60.3471,19.9274,6.2,552,6.8,42,1,3276
1335,Vitis vinifera,39.8349,3.01889,17.3,754,8.3,33,3,6873
1337,Stipa krylovii,47.7578,107.132,-2.4,271,,32,2,2068
1338,Allium amphibolum,43.0519,104.058,4.1,125,6.7,96,2,22560
1339,Galium verum,58.1075,22.1917,7.0,583,7.1,106,1,25546
1340,Festuca lenensis,43.0519,104.058,4.1,125,6.7,6,2,56
1341,Filipendula vulgaris,58.1075,22.1917,7.0,583,7.1,3,1,9
1343,Koeleria macrantha,43.5017,104.058,-1.5,171,6.7,10,2,117
1344,Malus domestica,50.73,5.14,10.1,801,6.9,11,1,198
1345,Acer saccharum,45.43,-73.94,7.3,1025,6.04,34,1,2108
1347,Stachys sylvatica,50.8888,4.98816,10.4,739,5.032,8,1,256
1349,Dichrostachys cinerea,-24.6778,28.6608,19.5,581,6.2,4,1,20
1368,Loropetalum chinense,29.25,118.12,15.6,2110,,34,3,1589
1384,Zea mays,35.3802,139.466,15.9,1589,5.3,957,3,1640224
1392,Plantago lanceolata,60.3343,19.8005,6.1,563,5.3,206,3,128760
1393,Eragostis tef,-25.9931,29.188,16.0,778,4.12,990,3,7388749
1396,Eragostis tef,-26.0017,29.192,16.0,757,4.16,368,5,390031
1404,Hyparrhenia hirta,38.0204,-1.16159,18.8,278,7.74,795,3,1115031
1405,Asclepias speciosa,46.3219,-114.129,8.7,295,,248,3,72302
1409,Podococcus barteri,0.6172,10.3992,22.7,2080,3.5,1,1,1
1412,Malus domestica,50.85,4.94,10.5,731,7.1,7,3,299
1414,Nicotiana glauca,37.8278,-0.765528,19.1,266,8.47,1266,3,34092843
1416,NA_,68.2381,17.4261,2.7,622,4.7,90,1,30240
1419,Botrychium lunaria,46.0875,7.54402,-0.3,886,6.68,11,2,188
1420,Plantago lanceolata,60.3468,19.9274,6.2,552,,4,1,52
1422,Botrychium lunaria,46.0886,7.53884,0.6,844,5.23,14,1,1652
1423,Botrychium lunaria,46.1964,7.48475,-0.9,1041,5.58,15,2,3011
1425,Vitis vinifera,39.8349,3.01889,17.3,754,8.3,19,4,411
1426,Potentilla hyparctica,78.2208,15.6167,-5.9,291,5.8,73,4,10965
1429,Asclepias speciosa,46.3219,-114.129,8.7,295,,1742,3,8783283
1431,Botrychium lunaria,46.0875,7.54401,-0.3,886,6.65,29,2,1962
1432,Cenchrus setaceus,37.8255,-1.16249,17.6,272,8.76,42,3,1048
1434,Asclepias speciosa,46.3219,-114.129,8.7,295,,400,2,243656
1435,Plantago lanceolata,60.2355,19.5941,6.3,523,5.2,67,4,32200
1441,Nicotiana glauca,38.0334,-1.16275,18.5,299,8.51,228,4,1280957
1442,Cenchrus setaceus,38.0193,-1.16083,18.8,278,8.45,2578,3,204388171
1444,Combretum micranthum,14.5822,-17.0161,25.8,477,6.4,28,1,1792
1452,Rubus saxatilis,58.28,27.32,5.8,628,,247,2,361851
1458,Asclepias speciosa,46.3219,-114.129,8.7,295,,1831,2,9577530
1485,Plantago lanceolata,60.1407,20.2685,6.2,548,5.7,3307,4,40694087
1488,Ballota undulata,30.5928,34.7122,16.9,114,,196,2,97696
1489,Botrychium lunaria,46.1963,7.48523,-0.9,1041,5.92,14,1,4452
1493,Citrus tangerina,25.2827,114.971,20.3,1436,6.4,1,1,2
1494,Citrus tangerina,25.2827,114.971,20.3,1436,6.4,2,1,6
1497,Plantago lanceolata,60.2355,19.5941,6.3,523,7.1,2842,4,35144167
1499,Heliotropium ramosissimum,16.8053,-22.9211,23.3,78,7.5,69,3,6487
1501,Citrullus colocynthis,16.8053,-22.9211,23.3,78,7.5,114,5,15802
1502,Plantago lanceolata,60.2182,19.5401,6.3,522,6.5,22,1,1166
1504,Plantago lanceolata,60.3347,19.8004,6.1,563,6.0,55,2,7963
1505,Eragostis tef,-25.9935,29.186,16.0,778,4.12,550,2,824563
1506,Solidago spiraeifolia,56.06,159.912,0.0,477,4.8,1,1,1
1510,Zea mays,35.3802,139.466,15.9,1589,5.78,1757,3,19087083
1511,Botrychium lunaria,46.0886,7.53892,0.6,844,5.24,205,1,386425
1512,Botrychium lunaria,46.0884,7.53914,0.6,844,5.17,70,1,28000
1513,Botrychium lunaria,46.2042,7.48335,-0.7,1044,5.41,28,2,4808
1514,Digitaria macroblephara,-2.5811,35.1411,20.3,674,7.0,44,3,5443
1515,Brachypodium retusum,39.4086,2.74667,17.3,616,7.3,10,2,218
1516,Embothrium coccineum,-38.6993,-71.6155,8.0,1287,5.7,5,2,18
1517,Phagnalon saxatile,39.4086,2.74667,17.3,616,7.3,23,2,465
1518,Themeda triandra,-2.5811,35.1411,20.3,674,7.0,12,2,126
1520,Artemisia frigida,43.0519,104.058,4.1,125,6.7,76,2,12284
1521,Salvia rosmarinus,39.4083,2.74528,17.3,616,7.2,23,2,644
1522,Megathyrsus maximus,-24.6778,28.6608,19.5,581,6.2,130,5,22845
1523,Megathyrsus maximus,-24.6778,28.6608,19.5,581,6.2,36,2,1121
