sample_id,plant_species,latitude,longitude,MAT,MAP,pH,amf_seq_richness,amf_genus_richness,total_reads
64,Arrhenatherum elatius,50.1392,14.3699,8.9,464,7.05,3,3,13
65,Arrhenatherum elatius,50.085,14.2944,8.4,491,7.08,71,1,11289
66,Arrhenatherum elatius,50.0583,14.3481,8.7,467,6.76,4,3,12
67,Daucus carota,50.0853,14.2792,8.4,507,7.1,4,2,11
68,Arrhenatherum elatius,50.0269,14.5419,9.0,512,6.48,783,5,3318877
69,Arrhenatherum elatius,49.9989,14.3386,9.0,460,7.55,49,3,4023
70,Achillea millefolium,50.0583,14.3481,8.7,467,6.76,86,3,42142
71,Arrhenatherum elatius,50.0269,14.5419,9.0,512,6.48,32,4,713
73,Arrhenatherum elatius,50.0853,14.2792,8.4,507,7.1,5,3,24
74,Tanacetum vulgare,50.0267,14.5414,8.9,535,5.18,35,3,31814
75,Echinops sphaerocephalus,49.9989,14.3386,9.0,460,7.55,6,3,49
76,Tanacetum vulgare,50.0267,14.5414,8.9,535,5.18,231,3,176578
77,Daucus carota,50.0269,14.5419,9.0,512,6.48,26,1,5304
78,Arrhenatherum elatius,50.2078,14.6825,9.5,534,6.51,2,2,6
79,Solidago canadensis,50.0267,14.5414,8.9,535,5.18,502,3,1270119
81,Daucus carota,50.5714,14.6514,8.7,580,6.42,112,7,23580
82,Daucus carota,50.21,14.6792,9.4,558,4.93,22,3,1283
83,Solidago canadensis,50.21,14.6792,9.4,558,4.93,26,4,692
84,Artemisia vulgaris,49.7357,16.96,9.1,585,7.51,66,7,3363
85,Tanacetum vulgare,50.2078,14.6825,9.5,534,6.51,13,4,83
86,Arrhenatherum elatius,50.2078,14.6825,9.5,534,6.51,700,4,13004689
91,Pancratium maritimum,35.8633,12.8548,19.2,394,,14156,5,387229970
94,Arrhenatherum elatius,50.0867,14.6308,9.1,556,4.7,3,2,14
95,Arrhenatherum elatius,50.2481,14.8922,9.2,588,7.43,90,2,37203
98,Achillea millefolium,50.1147,14.2922,8.5,506,6.25,223,3,730781
99,Vitis vinifera,46.3122,4.7225,11.2,840,7.96,4,1,40
100,Symphiotrichum novi-belgii,50.115,14.2897,8.5,509,6.33,4,2,37
101,Tanacetum vulgare,50.2486,14.8917,9.2,588,7.38,14,4,871
102,Arrhenatherum elatius,49.9989,14.3386,9.0,460,7.55,55,4,5585
103,Pancratium maritimum,35.8633,12.8548,19.2,394,,11172,4,238851884
104,Achillea millefolium,50.0572,14.3547,8.7,485,6.29,31,4,2492
106,Arrhenatherum elatius,50.0903,14.6369,9.1,563,5.99,3,3,4
107,Achillea millefolium,50.115,14.2897,8.5,509,6.33,19,4,173
108,Arrhenatherum elatius,49.9992,14.3336,9.0,460,7.59,968,5,3797490
109,Arrhenatherum elatius,50.0572,14.3547,8.7,485,6.29,984,5,3315714
110,Arrhenatherum elatius,50.5714,14.6442,8.6,577,5.47,15,2,159
111,Arrhenatherum elatius,50.0901,14.6371,9.1,563,4.62,426,6,978478
112,Daucus carota,50.0269,14.5419,9.0,512,6.48,915,2,11785933
113,Achillea millefolium,50.115,14.2897,8.5,509,6.33,162,7,43444
114,Daucus carota,49.5289,17.0861,9.1,617,7.59,270,3,516846
115,Arrhenatherum elatius,49.5288,17.0863,9.1,617,7.66,26,5,325
116,Daucus carota,50.1147,14.2922,8.5,506,6.25,147,2,241408
117,Knautia arvensis,50.0632,12.7536,6.0,682,5.13,1,1,5
118,Pancratium maritimum,38.0341,12.5335,18.6,511,,1,1,1
119,Arrhenatherum elatius,50.0572,14.3542,8.7,485,7.25,426,4,970230
121,Echinops sphaerocephalus,50.0572,14.3547,8.7,485,6.29,103,7,12861
123,Erigeron annuus,50.5714,14.6514,8.7,580,6.42,350,4,267061
126,Symphiotrichum novi-belgii,50.0901,14.6371,9.1,563,4.62,19,3,1601
127,Arrhenatherum elatius,50.085,14.2944,8.4,491,7.08,2,2,2
129,Arrhenatherum elatius,50.0867,14.6342,9.1,563,4.77,3,3,18
131,Daucus carota,50.0867,14.6308,9.1,556,4.7,1845,5,20706548
132,Knautia arvensis,50.0632,12.7536,6.0,682,4.65,2,1,4
133,Conyza canadensis,49.5289,17.0861,9.1,617,7.59,174,3,525603
134,Daucus carota,50.115,14.2897,8.5,509,6.33,5,3,22
135,Arrhenatherum elatius,50.1393,14.3697,8.9,464,7.09,1,1,1
136,Arrhenatherum elatius,50.115,14.2897,8.5,509,6.33,2,1,3
137,Tanacetum vulgare,50.0864,14.6356,9.1,563,5.57,224,7,640956
142,Centaurea stoebe,48.201,16.974,10.7,612,7.84,2,1,8
143,Tanacetum vulgare,50.0867,14.6308,9.1,556,4.7,1261,2,21706421
144,Achillea millefolium,50.085,14.2944,8.4,491,7.08,1,1,2
146,Tanacetum vulgare,50.0861,14.6364,9.1,563,5.37,1995,5,24892011
147,Arrhenatherum elatius,50.0572,14.3547,8.7,485,6.29,3,2,6
149,Achillea millefolium,50.0903,14.6369,9.1,563,5.99,239,3,120281
152,Arrhenatherum elatius,49.5289,17.0861,9.1,617,7.59,23,2,1649
153,Daucus carota,50.115,14.2897,8.5,509,6.33,13,3,430
154,Artemisia vulgaris,49.7357,16.96,9.1,585,7.51,292,7,73313
155,Symphiotrichum novi-belgii,50.0572,14.3561,8.7,485,6.68,119,2,39420
156,Daucus carota,50.2486,14.8917,9.2,588,7.38,4,3,12
157,Daucus carota,50.2481,14.8922,9.2,588,7.43,94,5,7374
158,Arrhenatherum elatius,50.5714,14.6442,8.6,577,5.47,257,3,88052
159,Knautia arvensis,50.074,12.7813,6.2,666,4.73,1,1,5
160,Arrhenatherum elatius,50.1147,14.2922,8.5,506,6.25,72,3,522475
161,Daucus carota,50.0867,14.6308,9.1,556,4.7,3103,3,39986719
163,Arrhenatherum elatius,50.2486,14.8917,9.2,588,7.38,570,5,1050466
164,Daucus carota,49.7357,16.96,9.1,585,7.51,1,1,1
165,Artemisia vulgaris,49.7354,16.96,9.1,585,7.41,230,9,64252
168,Arrhenatherum elatius,49.7357,16.96,9.1,585,7.51,8,1,44
169,Pancratium maritimum,38.0341,12.5335,18.6,511,,2,1,4
171,Daucus carota,50.0267,14.5414,8.9,535,5.18,239,2,339070
172,Daucus carota,49.9989,14.3386,9.0,460,7.55,374,3,3115609
180,Arrhenatherum elatius,50.0864,14.6356,9.1,563,5.57,22,4,545
183,Artemisia vulgaris,49.5289,17.0861,9.1,617,7.59,23,2,841
184,Erigeron annuus,50.5714,14.6514,8.7,580,6.42,448,4,156171
185,Vitis vinifera,47.0711,4.86222,11.2,761,8.02,101,3,89082
186,Daucus carota,49.9992,14.3336,9.0,460,7.59,2,1,2
187,Arrhenatherum elatius,49.7354,16.96,9.1,585,7.41,40,6,11499
188,Symphiotrichum novi-belgii,50.0572,14.3561,8.7,485,6.68,1,1,4
189,Arrhenatherum elatius,50.0572,14.3561,8.7,485,6.68,10,2,83
191,Daucus carota,50.0901,14.6371,9.1,563,4.62,4,3,8
193,Erigeron annuus,50.5714,14.6514,8.7,580,6.42,274,4,307753
194,Daucus carota,50.5714,14.6442,8.6,577,5.47,7,5,25
196,Daucus carota,50.2078,14.6825,9.5,534,6.51,1,1,1
197,Daucus carota,50.1392,14.3699,8.9,464,7.05,63,3,31844
198,Artemisia vulgaris,49.7354,16.96,9.1,585,7.41,151,5,50786
199,Achillea millefolium,50.085,14.2944,8.4,491,7.08,144,4,157377
201,Daucus carota,50.0853,14.2792,8.4,507,7.1,3,3,6
203,Daucus carota,50.5714,14.6442,8.6,577,5.47,5,3,37
204,Daucus carota,50.5714,14.6442,8.6,577,5.47,496,5,1276753
206,Vitis vinifera,46.9256,4.7125,10.8,790,8.11,17,2,7172
209,Daucus carota,50.0269,14.5419,9.0,512,6.48,894,2,6005146
210,Daucus carota,50.1147,14.2922,8.5,506,6.25,1,1,3
211,Daucus carota,50.5714,14.6514,8.7,580,6.42,1573,7,5493279
212,Daucus carota,50.2481,14.8922,9.2,588,7.43,302,3,163100
213,Tanacetum vulgare,50.5714,14.6442,8.6,577,5.47,1658,3,22467247
214,Daucus carota,50.0901,14.6371,9.1,563,4.62,27,4,2237
215,Arrhenatherum elatius,50.0864,14.6356,9.1,563,5.57,98,5,22332
216,Arrhenatherum elatius,50.0864,14.6356,9.1,563,5.57,39,2,94265
217,Daucus carota,50.0864,14.6356,9.1,563,5.57,8,3,44
218,Arrhenatherum elatius,50.0864,14.6356,9.1,563,5.57,523,2,1208489
219,Tanacetum vulgare,50.0269,14.5419,9.0,512,6.48,421,5,1184579
220,Arrhenatherum elatius,50.0867,14.6308,9.1,556,4.7,176,3,106202
221,Tanacetum vulgare,50.0867,14.6308,9.1,556,4.7,345,3,860084
222,Arrhenatherum elatius,49.7354,16.96,9.1,585,7.41,71,4,12301
223,Achillea millefolium,50.0583,14.3481,8.7,467,6.76,136,3,83289
224,Echinops sphaerocephalus,49.9989,14.3386,9.0,460,7.55,1,1,8
226,Arrhenatherum elatius,49.5288,17.0863,9.1,617,7.66,11,5,36
228,Arrhenatherum elatius,50.21,14.6792,9.4,558,4.93,663,5,4675825
230,Achillea millefolium,50.085,14.2944,8.4,491,7.08,3,2,12
236,Daucus carota,50.0861,14.6364,9.1,563,5.37,650,4,2647423
239,Daucus carota,50.0903,14.6369,9.1,563,5.99,414,4,732830
240,Solidago canadensis,50.0267,14.5414,8.9,535,5.18,872,4,4053377
241,Arrhenatherum elatius,49.9992,14.3336,9.0,460,7.59,274,7,227195
242,Arrhenatherum elatius,50.0572,14.3542,8.7,485,7.25,134,2,39632
243,Daucus carota,49.9992,14.3336,9.0,460,7.59,5,2,135
244,Tanacetum vulgare,50.2481,14.8922,9.2,588,7.43,6,4,37
245,Arrhenatherum elatius,50.0901,14.6371,9.1,563,4.62,131,2,46777
246,Artemisia vulgaris,50.1393,14.3697,8.9,464,7.09,701,3,5893500
249,Arrhenatherum elatius,50.0267,14.5414,8.9,535,5.18,26,5,609
250,Arrhenatherum elatius,50.1392,14.3699,8.9,464,7.05,2,1,4
253,Daucus carota,50.0853,14.2792,8.4,507,7.1,826,3,19695128
256,Solidago canadensis,50.21,14.6792,9.4,558,4.93,859,4,4708916
257,Daucus carota,50.0572,14.3547,8.7,485,6.29,107,5,55462
260,Conyza canadensis,50.1393,14.3697,8.9,464,7.09,181,2,230556
262,Daucus carota,50.0864,14.6356,9.1,563,5.57,212,5,122630
263,Knautia arvensis,50.0643,12.7943,6.2,652,5.49,1,1,1
265,Arrhenatherum elatius,50.5714,14.6442,8.6,577,5.47,4,3,13
266,Tanacetum vulgare,50.0269,14.5419,9.0,512,6.48,322,8,393211
267,Tanacetum vulgare,50.2078,14.6825,9.5,534,6.51,49,3,14836
268,Arrhenatherum elatius,49.5289,17.0861,9.1,617,7.59,1,1,1
269,Symphiotrichum novi-belgii,50.0901,14.6371,9.1,563,4.62,745,4,3877838
270,Tanacetum vulgare,50.0867,14.6342,9.1,563,4.77,301,2,708302
272,Arrhenatherum elatius,49.7354,16.96,9.1,585,7.41,570,6,700024
276,Arrhenatherum elatius,49.9989,14.3386,9.0,460,7.55,23,6,500
277,Artemisia vulgaris,49.5288,17.0863,9.1,617,7.66,5,3,267
278,Daucus carota,50.0903,14.6369,9.1,563,5.99,117,4,39550
279,Arrhenatherum elatius,50.115,14.2897,8.5,509,6.33,8,4,27
280,Echinops sphaerocephalus,49.9989,14.3386,9.0,460,7.55,134,3,71810
283,Arrhenatherum elatius,50.5714,14.6514,8.7,580,6.42,14,2,6291
285,Arrhenatherum elatius,50.2078,14.6825,9.5,534,6.51,655,1,5063805
286,Achillea millefolium,50.0853,14.2792,8.4,507,7.1,177,2,292219
287,Artemisia vulgaris,49.5289,17.0861,9.1,617,7.59,12,4,95
288,Achillea millefolium,50.0903,14.6369,9.1,563,5.99,411,2,1005843
289,Arrhenatherum elatius,50.0269,14.5419,9.0,512,6.48,12,2,233
290,Daucus carota,50.0867,14.6308,9.1,556,4.7,6,5,23
291,Achillea millefolium,50.0572,14.3561,8.7,485,6.68,12,2,254
292,Achillea millefolium,50.0901,14.6371,9.1,563,4.62,739,3,5264170
295,Solidago canadensis,50.0861,14.6364,9.1,563,5.37,1625,4,6322419
297,Symphiotrichum novi-belgii,50.0901,14.6371,9.1,563,4.62,214,6,237669
298,Centaurea stoebe,48.201,16.974,10.7,612,7.5,43,3,1415
300,Daucus carota,50.085,14.2944,8.4,491,7.08,13,2,229
301,Knautia arvensis,50.074,12.7813,6.2,666,4.99,3,2,24
302,Daucus carota,49.9989,14.3386,9.0,460,7.55,89,1,13475
305,Arrhenatherum elatius,50.0867,14.6308,9.1,556,4.7,2710,3,204546546
306,Daucus carota,49.7354,16.96,9.1,585,7.41,60,1,7544
308,Arrhenatherum elatius,49.9992,14.3336,9.0,460,7.59,495,8,411126
309,Arrhenatherum elatius,50.5714,14.6514,8.7,580,6.42,4,3,7
310,Daucus carota,50.1392,14.3699,8.9,464,7.05,11,2,661
311,Vitis vinifera,47.0711,4.86222,11.2,761,8.02,8,1,448
312,Vitis vinifera,46.9256,4.7125,10.8,790,8.11,91,3,151946
313,Arrhenatherum elatius,50.0903,14.6369,9.1,563,5.99,213,3,427565
315,Daucus carota,50.1393,14.3697,8.9,464,7.09,2,2,5
